recipe_id,ingredient_i,ingredient_j,ingredient_i_name,ingredient_j_name,edge_type,importance_score,rank
1,1,3,mezcal,lime juice,unknown,0.0036547192361835457,1
1,3,4,lime juice,soda water,unknown,0.002793823117107963,2
1,2,3,hibiscus simple syrup,lime juice,unknown,0.0009736987367086058,3
1,1,4,mezcal,soda water,unknown,0.0008608961190754716,4
1,1,2,mezcal,hibiscus simple syrup,unknown,0.0007170756666929901,5
1,2,4,hibiscus simple syrup,soda water,unknown,-0.00014382045238248153,6
2,5,7,junipero gin,lemon juice,unknown,0.0029800710380699647,1
2,7,8,lemon juice,cranberry juice,unknown,0.0029800710380699647,2
2,7,9,lemon juice,lillet blanc,unknown,0.0029800710380699647,3
2,7,10,lemon juice,forgery earth day bitters,unknown,0.0029800710380699647,4
2,7,11,lemon juice,laphroaig,unknown,0.0029800710380699647,5
2,5,6,junipero gin,house-made cranberry syrup,unknown,0.0,6
2,5,8,junipero gin,cranberry juice,unknown,0.0,7
2,5,9,junipero gin,lillet blanc,unknown,0.0,8
2,5,10,junipero gin,forgery earth day bitters,unknown,0.0,9
2,5,11,junipero gin,laphroaig,unknown,0.0,10
2,6,7,house-made cranberry syrup,lemon juice,unknown,0.0,11
2,6,8,house-made cranberry syrup,cranberry juice,unknown,0.0,12
2,6,9,house-made cranberry syrup,lillet blanc,unknown,0.0,13
2,6,10,house-made cranberry syrup,forgery earth day bitters,unknown,0.0,14
2,6,11,house-made cranberry syrup,laphroaig,unknown,0.0,15
2,8,9,cranberry juice,lillet blanc,unknown,0.0,16
2,8,10,cranberry juice,forgery earth day bitters,unknown,0.0,17
2,8,11,cranberry juice,laphroaig,unknown,0.0,18
2,9,10,lillet blanc,forgery earth day bitters,unknown,0.0,19
2,9,11,lillet blanc,laphroaig,unknown,0.0,20
2,10,11,forgery earth day bitters,laphroaig,unknown,0.0,21
3,14,16,pineapple gomme syrup,float old vine zin,unknown,0.010040277525146246,1
3,14,15,pineapple gomme syrup,fee bros lemon bitters,unknown,0.006981818326687761,2
3,12,14,barsol selecto italia pisco,pineapple gomme syrup,unknown,0.0068307450575784134,3
3,7,16,lemon juice,float old vine zin,unknown,0.004452625725634429,4
3,15,16,fee bros lemon bitters,float old vine zin,unknown,0.0030587324435699115,5
3,12,16,barsol selecto italia pisco,float old vine zin,unknown,0.002478100796218574,6
3,7,15,lemon juice,fee bros lemon bitters,unknown,0.001394166527176055,7
3,7,12,lemon juice,barsol selecto italia pisco,unknown,0.0009223156906469354,8
3,7,14,lemon juice,pineapple gomme syrup,unknown,0.0006449315753778162,9
3,12,15,barsol selecto italia pisco,fee bros lemon bitters,unknown,-0.0005801477471790717,10
4,17,21,barsol primero quebranta pisco,bsp vieux pontarlier absinthe francaise superieure,unknown,0.0015074538408833549,1
4,18,21,dry vermouth,bsp vieux pontarlier absinthe francaise superieure,unknown,0.0013170584628806603,2
4,19,21,st. germain,bsp vieux pontarlier absinthe francaise superieure,unknown,0.0012455141690875804,3
4,20,21,pineapple syrup,bsp vieux pontarlier absinthe francaise superieure,unknown,0.0011793124979683212,4
4,17,18,barsol primero quebranta pisco,dry vermouth,unknown,0.000597176430634283,5
4,17,20,barsol primero quebranta pisco,pineapple syrup,unknown,0.000597176430634283,6
4,17,19,barsol primero quebranta pisco,st. germain,unknown,0.0005971540801610331,7
4,18,19,dry vermouth,st. germain,unknown,0.0002690127372461104,8
4,18,20,dry vermouth,pineapple syrup,unknown,0.0002075413533834114,9
4,19,20,st. germain,pineapple syrup,unknown,0.00015026621576996746,10
5,22,27,luxardo maraschino liqueur,scrappy's aromatic bitters,unknown,0.00430936017423611,1
5,17,22,barsol primero quebranta pisco,luxardo maraschino liqueur,unknown,0.0040446997186138756,2
5,22,25,luxardo maraschino liqueur,luxardo amaro abano,unknown,0.003750184272570789,3
5,22,26,luxardo maraschino liqueur,luxardo fernet,unknown,0.0036421952756883202,4
5,17,27,barsol primero quebranta pisco,scrappy's aromatic bitters,unknown,0.0011806796992481772,5
5,22,23,luxardo maraschino liqueur,drops acid phosphate,unknown,0.001047356864072868,6
5,25,27,luxardo amaro abano,scrappy's aromatic bitters,unknown,0.0008264757894735908,7
5,26,27,luxardo fernet,scrappy's aromatic bitters,unknown,0.0006976743677375996,8
5,17,25,barsol primero quebranta pisco,luxardo amaro abano,unknown,0.0005753945369753044,9
5,17,26,barsol primero quebranta pisco,luxardo fernet,unknown,0.0004591532163742418,10
5,25,26,luxardo amaro abano,luxardo fernet,unknown,0.00019220367197059218,11
5,17,23,barsol primero quebranta pisco,drops acid phosphate,unknown,-0.017786553822233042,12
5,23,25,drops acid phosphate,luxardo amaro abano,unknown,-0.01794503994663499,13
5,23,26,drops acid phosphate,luxardo fernet,unknown,-0.01794503994663499,14
5,23,27,drops acid phosphate,scrappy's aromatic bitters,unknown,-0.01794503994663499,15
