global_rank,anchor_name,anchor_form,global_key_score,avg_importance,shrunk_importance,total_importance,recipe_count,top1_count,top3_count,top5_count,top1_rate,top3_rate,top5_rate,role_base_spirit_count,role_modifier_count,role_acid_count,role_sweetener_count,role_bitters_count,role_garnish_count,role_dilution_count,role_other_count,avg_freq,max_freq,dominant_role,dominant_role_ratio,is_suspect_node
1,gin,unknown,0.4521067271757848,0.06243940586278815,0.061046257467253444,11.613729490478596,186,148,179,183,0.7956989247311828,0.9623655913978495,0.9838709677419355,177,9,0,0,0,0,0,0,7.150537634408602,190.0,base_spirit,0.9516129032258065,False
2,tequila,unknown,0.41106479369536186,0.072158522096542,0.0636701387159624,2.381231229185886,33,32,32,32,0.9696969696969697,0.9696969696969697,0.9696969696969697,32,1,0,0,0,0,0,0,1.0,33.0,base_spirit,0.9696969696969697,False
3,mezcal,unknown,0.3860864903978954,0.0657841123479209,0.05753332233084327,1.8419551457417855,28,24,26,28,0.8571428571428571,0.9285714285714286,1.0,26,2,0,0,0,0,0,0,26.928571428571427,29.0,base_spirit,0.9285714285714286,False
4,vodka,unknown,0.3776612637166422,0.04838123322711713,0.04621951531412584,3.1447801597626137,65,41,59,63,0.6307692307692307,0.9076923076923077,0.9692307692307692,57,8,0,0,0,0,0,0,4.061538461538461,66.0,base_spirit,0.8769230769230769,False
5,bourbon,unknown,0.35952846401176863,0.056584691266106414,0.050200889210098444,1.5277866641848732,27,20,24,26,0.7407407407407407,0.8888888888888888,0.9629629629629629,23,4,0,0,0,0,0,0,8.0,27.0,base_spirit,0.8518518518518519,True
6,cognac,unknown,0.351237662082559,0.05949006572311305,0.0440728114970923,0.4759205257849044,8,4,7,7,0.5,0.875,0.875,7,1,0,0,0,0,0,0,15.75,63.0,base_spirit,0.875,True
7,christmas spirit,unknown,0.3341768933762861,0.06918830323107417,0.042166472591072424,0.27675321292429667,4,4,4,4,1.0,1.0,1.0,4,0,0,0,0,0,0,0,4.0,4.0,base_spirit,1.0,True
8,rye whiskey,unknown,0.3182160547706758,0.044429245827171754,0.03938166548921969,0.7552971790619198,17,11,13,17,0.6470588235294118,0.7647058823529411,1.0,12,5,0,0,0,0,0,0,6.352941176470588,18.0,base_spirit,0.7058823529411765,True
9,calvados,unknown,0.3144784192630167,0.04115338475073012,0.03660872021267247,0.5761473865102217,14,9,12,14,0.6428571428571429,0.8571428571428571,1.0,9,5,0,0,0,0,0,0,2.0,14.0,base_spirit,0.6428571428571429,True
10,brandy,unknown,0.309723170649068,0.0576500676579871,0.04108177600832108,0.3459004059479226,6,5,5,5,0.8333333333333334,0.8333333333333334,0.8333333333333334,5,1,0,0,0,0,0,0,3.5,7.0,base_spirit,0.8333333333333334,False
11,genepy,unknown,0.3086329307616519,0.0490022316053316,0.030916298863767122,0.0490022316053316,1,1,1,1,1.0,1.0,1.0,1,0,0,0,0,0,0,0,2.0,2.0,base_spirit,1.0,True
12,genever,unknown,0.2802957333344925,0.062372406352391274,0.0398945069648448,0.2494896254095651,4,3,3,4,0.75,0.75,1.0,3,1,0,0,0,0,0,0,1.0,4.0,base_spirit,0.75,True
13,white wine,unknown,0.2760938779560121,0.1977462720207153,0.047443414465476424,0.1977462720207153,1,1,1,1,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0.0,0.0,base_spirit,1.0,False
14,whiskey,unknown,0.27313191319540964,0.07779793524653957,0.042058023991653745,0.2333938057396187,3,3,3,3,1.0,1.0,1.0,3,0,0,0,0,0,0,0,0.0,0.0,base_spirit,1.0,True
15,ca' secco sparkling,unknown,0.273083962828585,0.14849311539009,0.04197084150651805,0.14849311539009,1,1,1,1,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0.0,0.0,base_spirit,1.0,True
16,pastis,unknown,0.27182057420851047,0.1278194834252338,0.039673771288200696,0.1278194834252338,1,1,1,1,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0.0,0.0,base_spirit,1.0,True
17,tequila reposado,unknown,0.27037868125601766,0.1042248714753516,0.03705214773821378,0.1042248714753516,1,1,1,1,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0.0,0.0,base_spirit,1.0,True
18,rye,unknown,0.27036057989678014,0.1039286674151017,0.037019236175963796,0.1039286674151017,1,1,1,1,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0.0,0.0,base_spirit,1.0,True
19,belstar sparkling rose,unknown,0.27029776851569676,0.1029008448155555,0.03690503366490311,0.1029008448155555,1,1,1,1,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0.0,0.0,base_spirit,1.0,True
20,westland american single malt,unknown,0.27008766084951297,0.0994627193689114,0.0365230197263871,0.0994627193689114,1,1,1,1,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0.0,0.0,base_spirit,1.0,True
21,pumpkin-infused glenrothes vintage reserve,unknown,0.2698050030577437,0.0948374100490503,0.03600909646862475,0.0948374100490503,1,1,1,1,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0.0,0.0,base_spirit,1.0,True
22,bourbon rye,unknown,0.2697904223410922,0.0945988165038444,0.03598258607471298,0.0945988165038444,1,1,1,1,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0.0,0.0,base_spirit,1.0,False
23,pineapple-infused mezcal,unknown,0.26974773565481874,0.0939003070920967,0.03590497391785213,0.0939003070920967,1,1,1,1,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0.0,0.0,base_spirit,1.0,False
