global_rank,anchor_name,anchor_form,global_key_score,avg_importance,shrunk_importance,total_importance,recipe_count,top1_count,top3_count,top5_count,top1_rate,top3_rate,top5_rate,role_base_spirit_count,role_modifier_count,role_acid_count,role_sweetener_count,role_bitters_count,role_garnish_count,role_dilution_count,role_other_count,avg_freq,max_freq,dominant_role,dominant_role_ratio,is_suspect_node
1,apple water,unknown,0.2935026954407084,0.0528276826185194,0.03134134897634354,0.0528276826185194,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,1,0,1.0,1.0,dilution,1.0,False
2,prosecco,unknown,0.28868207789915423,0.06387152941611186,0.046263543343591715,0.5109722353288949,8,5,6,7,0.625,0.75,0.875,3,0,0,0,0,0,5,0,7.875,9.0,dilution,0.625,False
3,champagne,unknown,0.27319088741095754,0.07183714436694767,0.05365542348447352,0.7902085880364244,11,5,7,11,0.45454545454545453,0.6363636363636364,1.0,3,1,0,0,0,0,7,0,5.0,11.0,dilution,0.6363636363636364,False
4,ice,unknown,0.27123102778933844,0.0783871144551535,0.03860186870788795,0.156774228910307,2,2,2,2,1.0,1.0,1.0,0,0,0,0,0,0,2,0,0.0,0.0,dilution,1.0,True
5,sarsaparilla soda,unknown,0.2687965856342903,0.0783360340289048,0.03417561024416414,0.0783360340289048,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,1,0,0.0,0.0,dilution,1.0,True
6,woodchuck pumpkin cider,unknown,0.26809859161859845,0.0669143137721288,0.03290653021563347,0.0669143137721288,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,1,0,0.0,0.0,dilution,1.0,True
7,float anchor california lager,unknown,0.2680466832482949,0.0660649040762523,0.032812151360536085,0.0660649040762523,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,1,0,0.0,0.0,dilution,1.0,False
8,champagne or prosecco,unknown,0.26740766089470924,0.055608174653941,0.03165029253583483,0.055608174653941,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,1,0,0.0,0.0,dilution,1.0,False
9,tonic water,unknown,0.2655590968128648,0.034249665372730616,0.0326513487722566,0.6849933074546123,20,6,14,19,0.3,0.7,0.95,0,0,0,0,0,0,20,0,4.15,20.0,dilution,1.0,False
10,sparkling water,unknown,0.26451682194952514,0.04807595190807172,0.03512902215007161,0.19230380763228688,4,2,4,4,0.5,1.0,1.0,0,0,0,0,0,0,4,0,2.0,4.0,dilution,1.0,False
11,club soda,unknown,0.24808681411313188,0.025886471841225656,0.026772579178776342,0.44007002130083617,17,4,12,16,0.23529411764705882,0.7058823529411765,0.9411764705882353,0,0,0,0,0,0,17,0,10.0,17.0,dilution,1.0,False
12,ginger beer,unknown,0.22916091287977064,0.023657158901887885,0.025085272721654648,0.4731431780377577,20,2,13,18,0.1,0.65,0.9,0,0,0,0,0,0,20,0,8.0,20.0,dilution,1.0,False
