global_rank,anchor_name,anchor_form,global_key_score,avg_importance,shrunk_importance,total_importance,recipe_count,top1_count,top3_count,top5_count,top1_rate,top3_rate,top5_rate,role_base_spirit_count,role_modifier_count,role_acid_count,role_sweetener_count,role_bitters_count,role_garnish_count,role_dilution_count,role_other_count,avg_freq,max_freq,dominant_role,dominant_role_ratio,is_suspect_node
1,orange blossom water,unknown,0.2433511592447955,0.04457473948322355,0.03183939371350196,0.0891494789664471,2,1,2,2,0.5,1.0,1.0,0,0,0,0,0,1,0,1,2.0,2.0,garnish,0.5,False
2,lemon peel,unknown,0.18785154710288843,0.036255763702947766,0.030728340843401435,0.1087672911088433,3,0,3,3,0.0,1.0,1.0,0,0,0,0,0,3,0,0,3.0,3.0,garnish,1.0,True
3,pepperoncini,unknown,0.16277738113716658,0.0667962236801812,0.032893409094305964,0.0667962236801812,1,0,1,1,0.0,1.0,1.0,0,0,0,0,0,1,0,0,1.0,1.0,garnish,1.0,True
4,walnut oil,unknown,0.16030401418259552,0.0263229462417459,0.028396378267813153,0.0263229462417459,1,0,1,1,0.0,1.0,1.0,0,0,0,0,0,1,0,0,1.0,1.0,garnish,1.0,True
5,strawberry,unknown,0.16024008968364695,0.02176613875562757,0.025702949335881277,0.13059683253376542,6,0,3,5,0.0,0.5,0.8333333333333334,0,1,0,1,0,3,0,1,2.0,6.0,garnish,0.5,True
6,lemon foam,unknown,0.15987060043944604,0.0192307213538452,0.02760835328026863,0.0192307213538452,1,0,1,1,0.0,1.0,1.0,0,0,0,0,0,1,0,0,1.0,1.0,garnish,1.0,True
7,orange,unknown,0.14367110599763006,0.03622717302529793,0.03072054338586057,0.1086815190758938,3,0,1,3,0.0,0.3333333333333333,1.0,0,0,0,0,0,2,0,1,1.3333333333333333,4.0,garnish,0.6666666666666666,True
8,cherry tomato,unknown,0.1365501090564499,0.0674128287838613,0.03296192077249264,0.0674128287838613,1,0,1,1,0.0,1.0,1.0,0,0,0,0,0,1,0,0,0.0,0.0,garnish,1.0,True
9,sage,unknown,0.13567266515549972,0.04221061204226625,0.0313665682253105,0.0844212240845325,2,0,2,2,0.0,1.0,1.0,0,0,0,0,0,1,0,1,0.0,0.0,garnish,0.5,True
10,assorted complementing botanicals,unknown,0.135488141293126,0.0500351744749247,0.031031070293721912,0.0500351744749247,1,0,1,1,0.0,1.0,1.0,0,0,0,0,0,1,0,0,0.0,0.0,garnish,1.0,True
11,grapefruit peel,unknown,0.13536859740380724,0.0480790017406181,0.030813717767687838,0.0480790017406181,1,0,1,1,0.0,1.0,1.0,0,0,0,0,0,1,0,0,0.0,0.0,garnish,1.0,True
12,satsuma,unknown,0.1353581467513835,0.047907991064593,0.03079471658146283,0.047907991064593,1,0,1,1,0.0,1.0,1.0,0,0,0,0,0,1,0,0,0.0,0.0,garnish,1.0,True
13,licorice root,unknown,0.1347608426086532,0.0381339232744609,0.029708709049225932,0.0381339232744609,1,0,1,1,0.0,1.0,1.0,0,0,0,0,0,1,0,0,0.0,0.0,garnish,1.0,True
14,cocao beans,unknown,0.1346167217419771,0.0357755818197611,0.029446671109814842,0.0357755818197611,1,0,1,1,0.0,1.0,1.0,0,0,0,0,0,1,0,0,0.0,0.0,garnish,1.0,True
15,cinnamon,unknown,0.1344984760309555,0.030484290297753798,0.029508966016856604,0.2133900320842766,7,0,2,3,0.0,0.2857142857142857,0.42857142857142855,0,0,0,0,0,4,0,3,1.0,7.0,garnish,0.5714285714285714,True
16,thyme,unknown,0.13448683959875932,0.0336502376580154,0.02921052175850976,0.0336502376580154,1,0,1,1,0.0,1.0,1.0,0,0,0,0,0,1,0,0,0.0,0.0,garnish,1.0,True
17,candied ginger,unknown,0.13430371312661488,0.0306536226592881,0.028877564536428955,0.0306536226592881,1,0,1,1,0.0,1.0,1.0,0,0,0,0,0,1,0,0,0.0,0.0,garnish,1.0,False
18,sugar snap peas,unknown,0.13422264181162316,0.0293270011412422,0.028730162145534963,0.0293270011412422,1,0,1,1,0.0,1.0,1.0,0,0,0,0,0,1,0,0,0.0,0.0,garnish,1.0,True
19,orange twist,unknown,0.1340195193224165,0.026003178590588,0.028360848528795606,0.026003178590588,1,0,1,1,0.0,1.0,1.0,0,0,0,0,0,1,0,0,0.0,0.0,garnish,1.0,True
20,lemon twist,unknown,0.13397988421592485,0.0253546041207241,0.02828878469881073,0.0253546041207241,1,0,1,1,0.0,1.0,1.0,0,0,0,0,0,1,0,0,0.0,0.0,garnish,1.0,True
21,eau de vie,unknown,0.1339795418735769,0.0253490021550305,0.02828816225817811,0.0253490021550305,1,0,1,1,0.0,1.0,1.0,0,0,0,0,0,1,0,0,0.0,0.0,garnish,1.0,True
22,finely chopped drained stem ginger in syrup,unknown,0.13396882911662278,0.0251737024957813,0.028268684518261533,0.0251737024957813,1,0,1,1,0.0,1.0,1.0,0,0,0,0,0,1,0,0,0.0,0.0,garnish,1.0,True
