global_rank,anchor_name,anchor_form,global_key_score,avg_importance,shrunk_importance,total_importance,recipe_count,top1_count,top3_count,top5_count,top1_rate,top3_rate,top5_rate,role_base_spirit_count,role_modifier_count,role_acid_count,role_sweetener_count,role_bitters_count,role_garnish_count,role_dilution_count,role_other_count,avg_freq,max_freq,dominant_role,dominant_role_ratio,is_suspect_node
1,grated,unknown,0.2974015656307872,0.1166273766379905,0.03843020386739589,0.1166273766379905,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,1.0,1.0,other,1.0,True
2,almond milk,unknown,0.295848190989188,0.0912085188663678,0.035605886337215585,0.0912085188663678,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,1.0,1.0,other,1.0,False
3,cava,unknown,0.2948328466102352,0.0745937926653211,0.0337598056482104,0.0745937926653211,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,1.0,1.0,other,1.0,False
4,egg yolk,unknown,0.29461504918138215,0.0710298347386353,0.03336381032302308,0.0710298347386353,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,1.0,1.0,other,1.0,True
5,vanilla powder,unknown,0.29427991171412454,0.0655457670926019,0.03275446947346382,0.0655457670926019,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,1.0,1.0,other,1.0,True
6,potato juice,unknown,0.29415010704185346,0.0634216906372571,0.032518460978425506,0.0634216906372571,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,1.0,1.0,other,1.0,False
7,everclear,unknown,0.29404557224371,0.0617111212130911,0.032328397709073725,0.0617111212130911,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,1.0,1.0,other,1.0,True
8,grape juice,unknown,0.29400180987441105,0.0609950097154716,0.03224882976489379,0.0609950097154716,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,1.0,1.0,other,1.0,False
9,rose water,unknown,0.29356463502188396,0.0538412394013928,0.03145396639666281,0.0538412394013928,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,1.0,1.0,other,1.0,False
10,mandarin orange,unknown,0.2935301909289104,0.0532776087890977,0.03139134077307446,0.0532776087890977,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,1.0,1.0,other,1.0,True
11,lychee puree,unknown,0.29297143673205295,0.0441343582950668,0.030375424051515474,0.0441343582950668,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,1.0,1.0,other,1.0,False
12,soy milk coffee foam,unknown,0.2689134368973975,0.0802481456070223,0.0343880670861772,0.0802481456070223,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0.0,0.0,other,1.0,False
13,bsp peated kola nut tincture,unknown,0.2686376048958416,0.0757345310361073,0.033886554356075536,0.0757345310361073,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0.0,0.0,other,1.0,True
14,drop sea salt tincture,unknown,0.2684580887341581,0.0727969938449231,0.03356016133483284,0.0727969938449231,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0.0,0.0,other,1.0,True
15,cardamom,unknown,0.26830447996295603,0.0702833957707071,0.03328087265991995,0.0702833957707071,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0.0,0.0,other,1.0,True
16,oz la colombe cold draft coffee,unknown,0.2681382688370135,0.0675635773461937,0.0329786706127518,0.0675635773461937,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0.0,0.0,other,1.0,True
17,matcha,unknown,0.2680101386990315,0.0654669023610332,0.03274570672551174,0.0654669023610332,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0.0,0.0,other,1.0,True
18,clarified milk,unknown,0.2679015475786053,0.063689956754059,0.03254826832473683,0.063689956754059,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0.0,0.0,other,1.0,False
19,cherry tomatoes,unknown,0.2677776919737606,0.0616632286747823,0.03232307631592831,0.0616632286747823,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0.0,0.0,other,1.0,True
20,cucumber juice,unknown,0.26772407369230755,0.0607858386146415,0.032225588531468216,0.0607858386146415,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0.0,0.0,other,1.0,True
21,celery root puree,unknown,0.2669446563469095,0.0480317365990368,0.03080846608528992,0.0480317365990368,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0.0,0.0,other,1.0,False
22,black peppercorns,unknown,0.2667658295249152,0.0451054795118566,0.030483326408936567,0.0451054795118566,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0.0,0.0,other,1.0,True
23,peanut butter powder,unknown,0.26667118115638605,0.0435566880268345,0.03031123846615633,0.0435566880268345,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0.0,0.0,other,1.0,True
24,cream,unknown,0.25468620480734505,0.04192481386694931,0.03529018556901044,0.3353985109355945,8,3,6,8,0.375,0.75,1.0,0,1,0,0,0,0,0,7,6.75,9.0,other,0.875,True
25,muddled,unknown,0.25060790631592883,0.04527476664368493,0.033188068918147934,0.1358242999310548,3,2,2,3,0.6666666666666666,0.6666666666666666,1.0,0,0,0,0,0,0,0,3,3.0,3.0,other,1.0,True
26,salt,unknown,0.24323055064473914,0.03495436957365381,0.031804963422362685,0.2796349565892305,8,2,6,8,0.25,0.75,1.0,0,0,0,0,0,1,0,7,1.375,11.0,other,0.875,True
27,egg white,unknown,0.2365247260498485,0.02167605296742165,0.02272956305099145,0.9754223835339744,45,0,23,44,0.0,0.5111111111111111,0.9777777777777777,0,0,0,0,0,0,0,45,40.0,45.0,other,1.0,True
28,coconut water,unknown,0.23234168590223914,0.040459028213238935,0.03187468570984448,0.1213770846397168,3,1,3,3,0.3333333333333333,1.0,1.0,0,0,0,0,0,0,1,2,2.0,3.0,other,0.6666666666666666,True
29,milk,unknown,0.22154187236531953,0.04147211523926573,0.03215098217148815,0.1244163457177972,3,1,2,3,0.3333333333333333,0.6666666666666666,1.0,0,0,0,0,0,0,1,2,5.0,5.0,other,0.6666666666666666,False
30,heavy cream,unknown,0.209517961821108,0.029827858604274955,0.029202631226566477,0.2087950102299247,7,1,5,7,0.14285714285714285,0.7142857142857143,1.0,0,1,0,0,0,0,0,6,5.0,7.0,other,0.8571428571428571,False
31,orange flower water,unknown,0.20539029266494785,0.0362216697891918,0.030719042503286168,0.1086650093675754,3,1,2,3,0.3333333333333333,0.6666666666666666,1.0,0,0,0,0,0,1,0,2,1.0,3.0,other,0.6666666666666666,False
32,star anise,unknown,0.17986160878865984,0.0654831324657226,0.03602107231000177,0.1309662649314452,2,0,2,2,0.0,1.0,1.0,0,0,0,0,0,0,0,2,2.0,2.0,other,1.0,True
33,salt tincture,unknown,0.17803551514644156,0.0650636602942353,0.03270090205142309,0.0650636602942353,1,0,1,1,0.0,1.0,1.0,0,0,0,0,0,0,0,1,2.0,2.0,other,1.0,True
34,oats,unknown,0.1652421441238752,0.07178960744855034,0.03728236730656732,0.14357921489710068,2,1,1,2,0.5,0.5,1.0,0,0,0,0,0,0,0,2,0.0,0.0,other,1.0,True
35,cranberry,unknown,0.1637658668673035,0.0829714447187853,0.034690655876373086,0.0829714447187853,1,0,1,1,0.0,1.0,1.0,0,0,0,0,0,0,0,1,1.0,1.0,other,1.0,True
36,stick,unknown,0.16376120693011043,0.0828951912010806,0.03468218326329479,0.0828951912010806,1,0,1,1,0.0,1.0,1.0,0,0,0,0,0,0,0,1,1.0,1.0,other,1.0,True
37,green apple,unknown,0.1630021677178356,0.0704745495456743,0.03330211196824964,0.0704745495456743,1,0,1,1,0.0,1.0,1.0,0,0,0,0,0,0,0,1,1.0,1.0,other,1.0,True
38,coriander tincture,unknown,0.16183824021159623,0.0514284630799394,0.031185880138723546,0.0514284630799394,1,0,1,1,0.0,1.0,1.0,0,0,0,0,0,0,0,1,1.0,1.0,other,1.0,True
39,milk powder,unknown,0.1618298811107579,0.0512916777934942,0.031170681773562962,0.0512916777934942,1,0,1,1,0.0,1.0,1.0,0,0,0,0,0,0,0,1,1.0,1.0,other,1.0,False
