recipe_id,ingredient_id,ingredient_name,importance_score,rank
1,1,mezcal,0.07514399716756909,1
1,3,lime juice,0.045225196191589045,2
1,2,hibiscus simple syrup,0.04173254025632367,3
1,4,soda water,-0.03326933694990031,4
2,6,house-made cranberry syrup,0.06579410110144313,1
2,9,lillet blanc,0.02897311631288524,2
2,5,junipero gin,0.024028761089466055,3
2,8,cranberry juice,0.019294042300567193,4
2,7,lemon juice,0.0048304300882221485,5
2,10,forgery earth day bitters,0.00457397837381357,6
2,11,laphroaig,-0.06726804833243594,7
3,12,barsol selecto italia pisco,0.14240058480214035,1
3,7,lemon juice,0.0842708492837565,2
3,14,pineapple gomme syrup,0.07098020205159572,3
3,16,float old vine zin,0.027448266021005252,4
3,15,fee bros lemon bitters,0.008030132569114112,5
4,17,barsol primero quebranta pisco,0.11815650023331958,1
4,18,dry vermouth,0.0337044900139597,2
4,19,st. germain,0.019911848717294345,3
4,20,pineapple syrup,0.009977298425945857,4
4,21,bsp vieux pontarlier absinthe francaise superieure,-0.007520902391039086,5
5,17,barsol primero quebranta pisco,0.0816599924960063,1
5,22,luxardo maraschino liqueur,0.04821626811156127,2
5,27,scrappy's aromatic bitters,0.043929228893513084,3
5,25,luxardo amaro abano,0.03836396518828905,4
5,26,luxardo fernet,0.020518090303670522,5
5,23,drops acid phosphate,-0.11240523588147411,6
6,34,tonic,0.07565701330890362,1
6,29,house-made simple syrup,0.043489418289890946,2
6,5,junipero gin,0.02341332535712226,3
6,7,lemon juice,0.019869681500549907,4
6,33,8 sugar snap peas,0.016805807205463208,5
6,32,absinthe,0.010549982633466737,6
6,30,manzanilla sherry,0.0020831883834699916,7
7,35,bourbon,0.12694064272433425,1
7,36,fresh lemon juice,0.04775117636518189,2
7,38,small hand foods pineapple gum syrup,0.0251832146140909,3
7,39,egg white,0.0189136309394341,4
7,37,luxardo sangue morlacco cherry liqueur,0.017414668666197453,5
8,40,hophead vodka,0.07853380354300643,1
8,44,count deschutes fresh squeezed ipa,0.06709908561099132,2
8,43,pure cane simple syrup,0.05674966017883232,3
8,41,ginger liqueur,0.027422786478443095,4
8,3,lime juice,0.026261709359450602,5
9,45,cognac,0.03711256750590197,1
9,22,luxardo maraschino liqueur,0.024042210355358473,2
9,36,fresh lemon juice,0.018395259723089974,3
9,46,cointreau,0.014648192758007328,4
9,49,champagne,-0.10843291983555303,5
10,54,oz ginger snaps,0.04654841572274293,1
10,52,hazelnut cinnamon syrup,0.03618144201521445,2
10,51,homemade milk chocolate,0.03566321371467551,3
10,50,king's ginger liqueur,0.022838971279449116,4
10,53,oz marshmallow whip cream,-0.00843161530516534,5
11,55,jasmine tea/rice-infused junipero gin,0.10873554167936228,1
11,56,leopold bros. sour apple liqueur,0.061800088535947095,2
11,58,house-made honey syrup,0.06150856070926891,3
11,57,lime,0.026611523688460426,4
11,59,lo-fi gentian amaro,0.012185279327621257,5
12,1,mezcal,0.19513634037671845,1
12,61,luxardo espresso italian liqueur,0.03282442734630897,2
12,63,salted chocolate bitters,0.020024487749629505,3
