recipe_id,canonical_name,amount,unit,amount_value,amount_ratio_all,amount_rank_all
1,mezcal,1.5,oz,1.5,0.5,1.0
1,hibiscus syrup,1.0,oz,1.0,0.3333333333333333,2.0
1,lime juice,0.5,oz,0.5,0.16666666666666666,3.0
1,soda water,,top,,,
2,gin,2.0,oz,2.0,0.25,2.0
2,cranberry syrup,0.75,oz,0.75,0.09375,3.0
2,lemon juice,0.5,oz,0.5,0.0625,4.0
2,cranberry juice,0.5,oz,0.5,0.0625,4.0
2,lillet blanc,0.25,oz,0.25,0.03125,5.0
2,bitters,4.0,dash,4.0,0.5,1.0
2,scotch whisky,,,,,
3,lemon juice,750.0,ml,750.0,0.24987506246876562,2.0
3,pisco,1500.0,ml,1500.0,0.49975012493753124,1.0
3,pineapple syrup,750.0,ml,750.0,0.24987506246876562,2.0
3,lemon bitters,0.5,oz,0.5,0.0001665833749791771,4.0
3,red wine,1.0,,1.0,0.0003331667499583542,3.0
4,pisco,1.5,oz,1.5,0.375,1.0
4,vermouth,0.75,oz,0.75,0.1875,3.0
4,elderflower liqueur,0.5,oz,0.5,0.125,4.0
4,pineapple syrup,0.25,oz,0.25,0.0625,5.0
4,absinthe,1.0,bsp,1.0,0.25,2.0
5,pisco,2.0,oz,2.0,0.17777777777777778,3.0
5,maraschino liqueur,1.25,oz,1.25,0.1111111111111111,4.0
5,acid phosphate,4.0,drop,4.0,0.35555555555555557,1.0
5,amaro,0.75,oz,0.75,0.06666666666666667,5.0
5,fernet,0.25,oz,0.25,0.022222222222222223,6.0
5,aromatic bitters,3.0,dash,3.0,0.26666666666666666,2.0
6,gin,1.0,oz,1.0,0.0784313725490196,3.0
6,lemon juice,0.75,oz,0.75,0.058823529411764705,4.0
6,simple syrup,1.0,oz,1.0,0.0784313725490196,3.0
6,sherry,1.0,oz,1.0,0.0784313725490196,3.0
6,absinthe,2.0,dash,2.0,0.1568627450980392,2.0
6,sugar,7.0,,7.0,0.5490196078431373,1.0
6,tonic water,,top,,,
7,bourbon,2.0,oz,2.0,0.4444444444444444,1.0
7,lemon juice,1.0,oz,1.0,0.2222222222222222,2.0
7,cherry liqueur,0.5,oz,0.5,0.1111111111111111,3.0
7,pineapple syrup,0.5,oz,0.5,0.1111111111111111,3.0
7,egg white,0.5,oz,0.5,0.1111111111111111,3.0
8,lime juice,0.75,oz,0.75,0.14285714285714285,3.0
8,vodka,1.5,oz,1.5,0.2857142857142857,2.0
8,ginger liqueur,0.5,oz,0.5,0.09523809523809523,4.0
8,simple syrup,0.5,oz,0.5,0.09523809523809523,4.0
8,ipa,2.0,count,2.0,0.38095238095238093,1.0
9,maraschino liqueur,0.25,oz,0.25,0.05263157894736842,4.0
9,lemon juice,0.25,oz,0.25,0.05263157894736842,4.0
9,cognac,0.75,oz,0.75,0.15789473684210525,2.0
9,orange liqueur,0.5,oz,0.5,0.10526315789473684,3.0
9,champagne,3.0,oz,3.0,0.631578947368421,1.0
10,ginger liqueur,1.0,oz,1.0,0.3076923076923077,2.0
10,chocolate,1.5,oz,1.5,0.46153846153846156,1.0
10,hazelnut cinnamon syrup,0.75,oz,0.75,0.23076923076923078,3.0
10,marshmallow whip cream,,oz,,,
10,ginger snaps,,oz,,,
11,gin,1.5,oz,1.5,0.4,1.0
11,apple liqueur,0.75,oz,0.75,0.2,2.0
11,lime,0.75,oz,0.75,0.2,2.0
11,honey syrup,0.5,oz,0.5,0.13333333333333333,3.0
11,amaro,0.25,oz,0.25,0.06666666666666667,4.0
12,mezcal,1.5,oz,1.5,0.3333333333333333,2.0
12,espresso liqueur,0.25,oz,0.25,0.05555555555555555,4.0
12,bitter bianco,0.75,oz,0.75,0.16666666666666666,3.0
12,chocolate bitters,2.0,dash,2.0,0.4444444444444444,1.0
13,gin,1.5,oz,1.5,0.13953488372093023,2.0
13,pineapple juice,0.75,oz,0.75,0.06976744186046512,4.0
13,strawberry puree,0.5,oz,0.5,0.046511627906976744,5.0
13,mint,6.5,,6.5,0.6046511627906976,1.0
13,lemon juice,0.5,oz,0.5,0.046511627906976744,5.0
13,lemon lime soda,1.0,oz,1.0,0.09302325581395349,3.0
14,lime juice,0.25,oz,0.25,0.03333333333333333,5.0
14,maraschino liqueur,0.75,oz,0.75,0.1,3.0
14,cherry liqueur,0.5,oz,0.5,0.06666666666666667,4.0
14,basil,1.0,,1.0,0.13333333333333333,2.0
14,rose water,5.0,dash,5.0,0.6666666666666666,1.0
15,gin,1.5,oz,1.5,0.46153846153846156,1.0
15,lime juice,1.0,oz,1.0,0.3076923076923077,2.0
15,orange juice,0.5,oz,0.5,0.15384615384615385,3.0
15,curacao,0.25,oz,0.25,0.07692307692307693,4.0
16,gin,0.5,oz,0.5,0.15384615384615385,3.0
16,lemon juice,0.25,oz,0.25,0.07692307692307693,4.0
16,maraschino liqueur,0.75,oz,0.75,0.23076923076923078,2.0
16,apple puree,0.75,oz,0.75,0.23076923076923078,2.0
16,bitters,1.0,dash,1.0,0.3076923076923077,1.0
17,amaro,0.75,oz,0.75,0.25,1.0
17,rum,0.75,oz,0.75,0.25,1.0
17,rum,0.75,oz,0.75,0.25,1.0
17,rum,0.75,oz,0.75,0.25,1.0
18,lemon juice,0.25,oz,0.25,0.05555555555555555,3.0
18,ginger liqueur,1.0,oz,1.0,0.2222222222222222,2.0
18,cognac,1.0,oz,1.0,0.2222222222222222,2.0
18,simple syrup,0.25,oz,0.25,0.05555555555555555,3.0
18,rhubarb bitters,2.0,dash,2.0,0.4444444444444444,1.0
19,cranberry juice,37.5,oz,37.5,0.375,1.0
19,ginger liqueur,25.0,oz,25.0,0.25,2.0
19,lemonade,37.5,oz,37.5,0.375,1.0
20,gin,0.75,c,0.75,0.1,3.0
20,calvados,0.75,c,0.75,0.1,3.0
20,lemon juice,0.5,c,0.5,0.06666666666666667,4.0
20,ginger-vanilla syrup,0.5,c,0.5,0.06666666666666667,4.0
20,angostura bitters,4.0,dash,4.0,0.5333333333333333,1.0
20,sparkling rose,1.0,bottle,1.0,0.13333333333333333,2.0
21,lemon juice,0.75,oz,0.75,0.25,2.0
21,fernet,0.5,oz,0.5,0.16666666666666666,3.0
21,ginger liqueur,1.5,oz,1.5,0.5,1.0
21,single malt scotch,0.25,oz,0.25,0.08333333333333333,4.0
22,lemon juice,0.5,oz,0.5,0.07142857142857142,4.0
22,pineapple juice,1.0,oz,1.0,0.14285714285714285,3.0
22,rum,1.5,oz,1.5,0.21428571428571427,2.0
22,amaretto,0.5,oz,0.5,0.07142857142857142,4.0
22,falernum,0.5,oz,0.5,0.07142857142857142,4.0
22,orange bitters,3.0,dash,3.0,0.42857142857142855,1.0
23,gin,,oz,,0.0,
23,lemon,,oz,,0.0,
23,elderflower liqueur,,oz,,0.0,
23,honey syrup,,oz,,0.0,
23,carrot juice,,oz,,0.0,
24,maraschino liqueur,0.5,oz,0.5,0.13333333333333333,3.0
24,simple syrup,0.5,oz,0.5,0.13333333333333333,3.0
24,rum,1.5,oz,1.5,0.4,1.0
24,lime juice,0.75,oz,0.75,0.2,2.0
