recipe_id,family,flavor_balance_score,role_balance_score,final_balance_score,f_sour,f_sweet,f_bitter,f_aroma,f_fruity,f_body,r_base,r_acid,r_sweetener,r_modifier,r_bitters,r_garnish,r_dilution,r_other
1,cluster_0,-0.18239146544452126,-0.29752656650793385,-0.23995901597622754,0.3,0.616667,0.4,0.6,0.466667,0.583333,0.5,0.166667,0.333333,0.0,0.0,0.0,0.0,0.0
2,cluster_1,-0.1330075773217451,-0.11708704027346495,-0.125047308797605,0.225,0.275,0.64375,0.775,0.40625,0.340625,0.25,0.0625,0.09375,0.09375,0.5,0.0,0.0,0.0
3,cluster_0,-0.19222481233961444,-0.24713084090821205,-0.21967782662391325,0.349992,0.5,0.325121,0.725037,0.724954,0.500017,0.49975,0.249875,0.249875,0.000333,0.000167,0.0,0.0,0.0
4,cluster_3,-0.11387355926640744,-0.24259018941416405,-0.17823187434028576,0.1875,0.51875,0.45,0.80625,0.5375,0.60625,0.375,0.0,0.125,0.25,0.25,0.0,0.0,0.0
5,cluster_1,-0.3679554317495531,-0.3781307498088458,-0.37304309077919945,0.408889,0.264444,0.446667,0.595556,0.304444,0.295556,0.177778,0.355556,0.111111,0.066667,0.288889,0.0,0.0,0.0
6,cluster_0,-0.20904263306321036,-0.6543434338541191,-0.4316930334586647,0.180392,0.605882,0.384314,0.654902,0.621569,0.466667,0.078431,0.058824,0.078431,0.078431,0.156863,0.54902,0.0,0.0
7,cluster_0,-0.06961932824295274,-0.14230442502958227,-0.1059618766362675,0.277778,0.544444,0.355556,0.677778,0.555556,0.533333,0.444444,0.222222,0.111111,0.111111,0.0,0.0,0.0,0.111111
8,cluster_2,-0.1976038150188401,-0.21563045201687078,-0.20661713351785543,0.304762,0.309524,0.485714,0.647619,0.366667,0.495238,0.285714,0.142857,0.095238,0.095238,0.0,0.0,0.380952,0.0
9,cluster_2,-0.4746769223482431,-0.34514837140424115,-0.4099126468762421,0.289474,0.615789,0.4,0.757895,0.763158,0.547368,0.157895,0.052632,0.052632,0.105263,0.0,0.0,0.631579,0.0
10,cluster_3,-0.30278199824626295,-0.2596012397293202,-0.28119161898779155,0.1,0.730769,0.392308,0.761538,0.307692,0.723077,0.307692,0.0,0.230769,0.461538,0.0,0.0,0.0,0.0
11,cluster_0,-0.13654418902318763,-0.06209329897823115,-0.09931874400070939,0.306667,0.506667,0.38,0.793333,0.6,0.593333,0.4,0.2,0.133333,0.2,0.066667,0.0,0.0,0.0
12,cluster_1,-0.22955699203683605,-0.241128663468282,-0.23534282775255902,0.177778,0.322222,0.716667,0.805556,0.2,0.35,0.333333,0.0,0.0,0.055556,0.611111,0.0,0.0,0.0
