pair_id,group_id,pos_recipe_id,neg_recipe_id,perturb_type,split
0,509,509,perturbed_ffd78efa55cf26449aba81721df3525f,balance_change_role,train
1,509,509,perturbed_f3b68f928a73010d0e583c69dbfae494,balance_remove_key_ingredient,train
2,509,509,perturbed_f3b68f928a73010d0e583c69dbfae494,balance_remove_key_ingredient,train
3,509,509,perturbed_f86a1cccfc5842f118750d5359f934a4,balance_minor_amount_adjustment_hard,train
4,509,509,perturbed_d5f3465f6841c9ecfa1c03c1dc4dd68e,synergy_similar_ingredient_replacement_hard,train
5,216,216,perturbed_94dddfef430e7ad157e0a2f196d8b8d7,synergy_insert_different_type,train
6,216,216,perturbed_6dad0aa37ec886552e19b0a1f989913d,balance_remove_key_ingredient,train
7,216,216,perturbed_2e0743e29cd2de274c208e2a958adeea,balance_minor_amount_adjustment_hard,train
8,216,216,perturbed_ea99ba8461020b09c54652f4b663495d,synergy_similar_ingredient_replacement_hard,train
9,562,562,perturbed_693649cc7ce99ed5d9b6cb2a98aa63b6,conflict_acid_sweetener_ratio_break,valid
10,562,562,perturbed_4c167bac4d06b72da677823c4ee58801,conflict_create_incompatible_type_pair,valid
11,562,562,perturbed_b3e4429cd7bcdc8add1d325d6bcc59bc,synergy_insert_different_type,valid
12,562,562,perturbed_693649cc7ce99ed5d9b6cb2a98aa63b6,conflict_acid_sweetener_ratio_break,valid
13,562,562,perturbed_c5f7273f9db2bd0a80bc2ea5807c2cfd,balance_remove_key_ingredient,valid
14,562,562,perturbed_4c167bac4d06b72da677823c4ee58801,conflict_create_incompatible_type_pair,valid
15,562,562,perturbed_693649cc7ce99ed5d9b6cb2a98aa63b6,conflict_acid_sweetener_ratio_break,valid
16,562,562,perturbed_4794a0622412fa83b46b72c17cd85c8d,conflict_add_extra_base_spirit,valid
17,562,562,perturbed_4794a0622412fa83b46b72c17cd85c8d,conflict_add_extra_base_spirit,valid
18,562,562,perturbed_4c167bac4d06b72da677823c4ee58801,conflict_create_incompatible_type_pair,valid
19,562,562,perturbed_004da6342b721465a5ae41efb8931734,balance_minor_amount_adjustment_hard,valid
20,562,562,perturbed_c890788e8188df9468a6e339113da7a0,synergy_similar_ingredient_replacement_hard,valid
21,533,533,perturbed_39bfeadc7f1ecb6f1ddf3ef58bf1f284,balance_change_amount,valid
22,533,533,perturbed_f2f70e3a2bdd2789fd7c5f979eb358ee,synergy_insert_different_type,valid
23,533,533,perturbed_bb2f36aa94d87ff847c5c1d4ad89a16d,conflict_acid_sweetener_ratio_break,valid
24,533,533,perturbed_4e839d0bf52f8cc3a24ba3653d017932,balance_minor_amount_adjustment_hard,valid
25,533,533,perturbed_202cfa3a5055584c9d298a6568cb5353,synergy_similar_ingredient_replacement_hard,valid
26,334,334,perturbed_c32d6a9ee33bd4146de291bc12514bf5,synergy_replace_with_different_type,valid
27,334,334,perturbed_fa6c62b8a2dbef0204ab39d490088cdb,balance_change_amount,valid
28,334,334,perturbed_fa6c62b8a2dbef0204ab39d490088cdb,balance_change_amount,valid
29,334,334,perturbed_746178a338fcc2d4f1811da4a7c58feb,balance_change_role,valid
30,334,334,perturbed_80aaa3aea58bc135c261e8d9c6f79f80,balance_minor_amount_adjustment_hard,valid
31,334,334,perturbed_012fec0827c1201979a93dd90c8bcc92,synergy_similar_ingredient_replacement_hard,valid
32,479,479,perturbed_f772ebdf11dfa13a22900ea8e67f36d6,balance_remove_key_ingredient,train
33,479,479,perturbed_45a1a2f2211f57a6082bdac35d6eff61,synergy_insert_different_type,train
34,479,479,perturbed_45a1a2f2211f57a6082bdac35d6eff61,synergy_insert_different_type,train
35,479,479,perturbed_f772ebdf11dfa13a22900ea8e67f36d6,balance_remove_key_ingredient,train
36,479,479,perturbed_5349004f9af9ed3d5e539f794223b88e,balance_change_role,train
37,479,479,perturbed_f772ebdf11dfa13a22900ea8e67f36d6,balance_remove_key_ingredient,train
38,479,479,perturbed_b230c0de62c29cf69b49c1fe061928a3,synergy_replace_with_different_anchor,train
39,479,479,perturbed_5349004f9af9ed3d5e539f794223b88e,balance_change_role,train
40,479,479,perturbed_45a1a2f2211f57a6082bdac35d6eff61,synergy_insert_different_type,train
41,479,479,perturbed_f772ebdf11dfa13a22900ea8e67f36d6,balance_remove_key_ingredient,train
42,479,479,perturbed_f772ebdf11dfa13a22900ea8e67f36d6,balance_remove_key_ingredient,train
43,479,479,perturbed_1cf4a113b0f07afb84ebaf71677aad49,synergy_replace_with_different_type,train
44,479,479,perturbed_45a1a2f2211f57a6082bdac35d6eff61,synergy_insert_different_type,train
45,479,479,perturbed_2900f5fc9fc3b7a502b0485b3d4741ad,balance_minor_amount_adjustment_hard,train
46,479,479,perturbed_4b0cc667814fb18040c87e2144251783,synergy_similar_ingredient_replacement_hard,train
47,577,577,perturbed_63436e0058fbb31f70e65fb4060ab5a0,conflict_add_extra_base_spirit,train
48,577,577,perturbed_63436e0058fbb31f70e65fb4060ab5a0,conflict_add_extra_base_spirit,train
49,577,577,perturbed_c74988c095f41f07b67eadebe1228a52,balance_change_role,train
50,577,577,perturbed_f1b95037d2d765a36f980abdd81922d8,synergy_replace_with_different_type,train
51,577,577,perturbed_f1b95037d2d765a36f980abdd81922d8,synergy_replace_with_different_type,train
52,577,577,perturbed_f1b95037d2d765a36f980abdd81922d8,synergy_replace_with_different_type,train
53,577,577,perturbed_a588461008434cbec84e0cf7f1ca55be,balance_remove_key_ingredient,train
54,577,577,perturbed_f1b95037d2d765a36f980abdd81922d8,synergy_replace_with_different_type,train
55,577,577,perturbed_79abf24954c31a34b0f609805efa964f,balance_minor_amount_adjustment_hard,train
56,577,577,perturbed_e002b8b37be19265b619a06d1af5de90,synergy_similar_ingredient_replacement_hard,train
57,221,221,perturbed_bca1ae86d5bceb452f727c516f29532a,balance_change_amount,valid
58,221,221,perturbed_4858693c28d17f4d48c56b3ff721aa10,conflict_acid_sweetener_ratio_break,valid
59,221,221,perturbed_bca1ae86d5bceb452f727c516f29532a,balance_change_amount,valid
60,221,221,perturbed_b5fc9d1dc13ecdc0229e591db1496684,balance_change_role,valid
61,221,221,perturbed_b5fc9d1dc13ecdc0229e591db1496684,balance_change_role,valid
62,221,221,perturbed_b5fc9d1dc13ecdc0229e591db1496684,balance_change_role,valid
63,221,221,perturbed_bcabb6804d12287a0e826cde923a7f15,synergy_insert_different_type,valid
64,221,221,perturbed_d64f45d4e6c2a779e04525db78c53441,synergy_replace_with_different_type,valid
65,221,221,perturbed_e108aa1e91234b74345700b0d40d442d,synergy_replace_with_different_anchor,valid
66,221,221,perturbed_b5fc9d1dc13ecdc0229e591db1496684,balance_change_role,valid
67,221,221,perturbed_c2791128ccef5f93c9d6b869140d611f,balance_minor_amount_adjustment_hard,valid
68,221,221,perturbed_e80c62c40a6b807910e36145e4f8bcab,synergy_similar_ingredient_replacement_hard,valid
69,399,399,perturbed_53e3d6394f749d2399592d18b5c22c13,balance_change_role,train
70,399,399,perturbed_8ab11f7d6d4e136f15fdbe1be44ddbdd,balance_change_amount,train
71,399,399,perturbed_ef5bebbed8f7666bc15d64f35493106f,balance_remove_key_ingredient,train
72,399,399,perturbed_8ab11f7d6d4e136f15fdbe1be44ddbdd,balance_change_amount,train
