global_rank,anchor_name,anchor_form,global_key_score,avg_importance,shrunk_importance,total_importance,recipe_count,top1_count,top3_count,top5_count,top1_rate,top3_rate,top5_rate,role_base_spirit_count,role_modifier_count,role_acid_count,role_sweetener_count,role_bitters_count,role_garnish_count,role_dilution_count,role_other_count,avg_freq,max_freq,dominant_role,dominant_role_ratio,is_suspect_node
1,lemon juice,unknown,0.2837672379484281,0.02258092654770596,0.0228215059822947,4.380699750254957,194,0,89,172,0.0,0.4587628865979381,0.8865979381443299,0,5,189,0,0,0,0,0,122.62886597938144,195.0,acid,0.9742268041237113,True
2,lime juice,unknown,0.26510615020260025,0.0213325283007956,0.02182073023214733,2.389243169689107,112,0,51,106,0.0,0.45535714285714285,0.9464285714285714,0,3,109,0,0,0,0,0,66.16071428571429,114.0,acid,0.9732142857142857,True
3,orange juice,unknown,0.2038389510900345,0.017804792270732787,0.02060498969017505,0.4095102222268541,23,0,12,18,0.0,0.5217391304347826,0.782608695652174,0,9,11,1,0,0,0,2,13.0,23.0,acid,0.4782608695652174,True
4,passion fruit,unknown,0.20053678312081274,0.05794559657442555,0.03841890370552289,0.2317823862977022,4,0,4,4,0.0,1.0,1.0,0,1,3,0,0,0,0,0,3.0,4.0,acid,0.75,True
5,lime,unknown,0.19644148712377651,0.026454007001555847,0.027158503087800875,0.4497181190264494,17,0,8,15,0.0,0.47058823529411764,0.8823529411764706,0,0,17,0,0,0,0,0,11.0,17.0,acid,1.0,True
6,lemon,unknown,0.19411321742637622,0.021970956116906557,0.02411002848623936,0.3735062539874115,17,0,8,13,0.0,0.47058823529411764,0.7647058823529411,0,1,13,0,0,3,0,0,8.941176470588236,19.0,acid,0.7647058823529411,True
7,coffee,unknown,0.18223749216416935,0.05663045000903166,0.0362850734723334,0.169891350027095,3,1,3,3,0.3333333333333333,1.0,1.0,0,0,1,0,0,0,1,1,0.0,0.0,acid,0.3333333333333333,True
8,passion fruit juice,unknown,0.16338767627549222,0.0767828713982373,0.03400303661853442,0.0767828713982373,1,0,1,1,0.0,1.0,1.0,0,0,1,0,0,0,0,0,1.0,1.0,acid,1.0,False
9,coconut vinegar,unknown,0.1618348826436223,0.0513735210585479,0.031179775469680045,0.0513735210585479,1,0,1,1,0.0,1.0,1.0,0,0,1,0,0,0,0,0,1.0,1.0,acid,1.0,True
10,celery shrub,unknown,0.1615711502021058,0.0470578992882774,0.03070026193964999,0.0470578992882774,1,0,1,1,0.0,1.0,1.0,0,0,1,0,0,0,0,0,1.0,1.0,acid,1.0,True
11,sherry vinegar,unknown,0.16030460445680497,0.026332605274264,0.028397451493648498,0.026332605274264,1,0,1,1,0.0,1.0,1.0,0,0,1,0,0,0,0,0,1.0,1.0,acid,1.0,True
12,verjus,unknown,0.13582169529424787,0.0554933308569188,0.031637532113943476,0.0554933308569188,1,0,1,1,0.0,1.0,1.0,0,0,1,0,0,0,0,0,0.0,0.0,acid,1.0,True
13,orange cream citrate,unknown,0.13546008574019874,0.0495760836088425,0.030980060197490555,0.0495760836088425,1,0,1,1,0.0,1.0,1.0,0,0,1,0,0,0,0,0,0.0,0.0,acid,1.0,False
14,kalamansi juice,unknown,0.13440705357003965,0.0323446480971484,0.029065456251746762,0.0323446480971484,1,0,1,1,0.0,1.0,1.0,0,0,1,0,0,0,0,0,0.0,0.0,acid,1.0,False
15,lime sour,unknown,0.1343455787721062,0.0313386968582374,0.02895368389186776,0.0313386968582374,1,0,1,1,0.0,1.0,1.0,0,0,1,0,0,0,0,0,0.0,0.0,acid,1.0,True
16,cherry juice,unknown,0.13412329254979297,0.0277012859476571,0.028549527124025507,0.0277012859476571,1,0,1,1,0.0,1.0,1.0,0,0,1,0,0,0,0,0,0.0,0.0,acid,1.0,False
17,lemon syrup,unknown,0.1340997621753882,0.02791149404125225,0.0285067446251077,0.0558229880825045,2,0,2,2,0.0,1.0,1.0,0,0,1,1,0,0,0,0,0.0,0.0,acid,0.5,True
18,fever-tree sparkling lemon,unknown,0.13381673417334897,0.0226848761513006,0.027992148257763676,0.0226848761513006,1,0,1,1,0.0,1.0,1.0,0,0,1,0,0,0,0,0,0.0,0.0,acid,1.0,True
19,black pepper balsamic shrub,unknown,0.13376938755912715,0.0219101133731253,0.027906063504633087,0.0219101133731253,1,0,1,1,0.0,1.0,1.0,0,0,1,0,0,0,0,0,0.0,0.0,acid,1.0,True
20,oz fresh lime sweet n' sour mix,unknown,0.13345586417354188,0.0167797306999119,0.027336020985387153,0.0167797306999119,1,0,1,1,0.0,1.0,1.0,0,0,1,0,0,0,0,0,0.0,0.0,acid,1.0,True
21,lime sweet n' sour mix,unknown,0.13242872990838292,-2.792091178005496e-05,0.0254685041396436,-2.792091178005496e-05,1,0,1,1,0.0,1.0,1.0,0,0,1,0,0,0,0,0,0.0,0.0,acid,1.0,True
22,citric acid,unknown,0.10578220608492969,0.01063790606993795,0.025052027030844838,0.0212758121398759,2,0,0,2,0.0,0.0,1.0,0,0,2,0,0,0,0,0,1.5,3.0,acid,1.0,True
23,sweet and sour,unknown,0.09454701264767355,0.02719271843044945,0.02836298950294714,0.0543854368608989,2,0,1,2,0.0,0.5,1.0,0,0,2,0,0,0,0,0,0.0,0.0,acid,1.0,True
24,yuzu,unknown,0.08168626352071873,0.0317166913918958,0.028995683284496476,0.0317166913918958,1,0,0,1,0.0,0.0,1.0,0,0,1,0,0,0,0,0,1.0,1.0,acid,1.0,True
25,grapefruit shrub,unknown,0.08065985969695082,0.0149209924575117,0.027129494514009353,0.0149209924575117,1,0,0,1,0.0,0.0,1.0,0,0,1,0,0,0,0,0,1.0,1.0,acid,1.0,False
26,sweet and sour mix,unknown,0.08026105400132835,0.020062382724594735,0.026311964212941515,0.060187148173784205,3,0,1,3,0.0,0.3333333333333333,1.0,0,0,3,0,0,0,0,0,0.0,0.0,acid,1.0,True
27,kumquat,unknown,0.054333513493475885,0.0204671280334371,0.02701787142354467,0.0409342560668742,2,0,0,2,0.0,0.0,1.0,0,0,1,0,0,1,0,0,0.0,0.0,acid,0.5,True
28,pinch citric acid or lime juice,unknown,0.05350768901245923,0.0004028931357844,0.025516372367150764,0.0004028931357844,1,0,0,1,0.0,0.0,1.0,0,0,1,0,0,0,0,0,0.0,0.0,acid,1.0,False
29,fresh lime sweet n' sour,unknown,0.05333431571906122,-0.0024341243925467,0.025201148197336196,-0.0024341243925467,1,0,0,1,0.0,0.0,1.0,0,0,1,0,0,0,0,0,0.0,0.0,acid,1.0,True
30,acid phosphate,unknown,0.053229856076060816,-0.0041434640052806,0.0250112215736991,-0.0041434640052806,1,0,0,1,0.0,0.0,1.0,0,0,1,0,0,0,0,0,0.0,0.0,acid,1.0,True
31,lemon sour,unknown,0.01455668588310159,0.0089558562821808,0.026466701605639253,0.0089558562821808,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,acid,1.0,True
