global_rank,anchor_name,anchor_form,global_key_score,avg_importance,shrunk_importance,total_importance,recipe_count,top1_count,top3_count,top5_count,top1_rate,top3_rate,top5_rate,role_base_spirit_count,role_modifier_count,role_acid_count,role_sweetener_count,role_bitters_count,role_garnish_count,role_dilution_count,role_other_count,avg_freq,max_freq,dominant_role,dominant_role_ratio,is_suspect_node
1,bitters,unknown,0.22079918684508518,-0.007344036810539789,-0.0031087904479972775,-0.44064220863238734,60,1,15,49,0.016666666666666666,0.25,0.8166666666666667,0,0,0,0,60,0,0,0,7.5,84.0,bitters,1.0,True
2,angostura bitters,unknown,0.2146237101413017,-0.00700593898766619,-0.0036885904984812834,-0.5464632410379628,78,0,17,66,0.0,0.21794871794871795,0.8461538461538461,0,0,0,0,78,0,0,0,72.92307692307692,79.0,bitters,1.0,True
3,orange bitters,unknown,0.18989516525959954,-0.009820521052909913,-0.003129029170478353,-0.3731798000105767,38,0,9,31,0.0,0.23684210526315788,0.8157894736842105,0,0,0,0,38,0,0,0,22.105263157894736,40.0,bitters,1.0,False
4,grapefruit bitters,unknown,0.1769278599256443,0.008830682366015167,0.020159182311761677,0.052984094196091,6,0,4,6,0.0,0.6666666666666666,1.0,0,0,0,0,6,0,0,0,3.0,6.0,bitters,1.0,False
5,mole,unknown,0.1626070846547915,0.0640095539685892,0.0325837791263513,0.0640095539685892,1,0,1,1,0.0,1.0,1.0,0,0,0,0,1,0,0,0,1.0,1.0,bitters,1.0,True
6,campari,unknown,0.16143512889276262,-0.009042241184852112,0.008697899264994322,-0.08138017066366901,9,0,4,7,0.0,0.4444444444444444,0.7777777777777778,0,4,0,0,5,0,0,0,10.0,10.0,bitters,0.5555555555555556,True
7,cinnamon bitters,unknown,0.16127187963629852,0.0421607445750676,0.030156133638182227,0.0421607445750676,1,0,1,1,0.0,1.0,1.0,0,0,0,0,1,0,0,0,1.0,1.0,bitters,1.0,False
8,cinnamon tincture,unknown,0.16110637630607993,0.033393221548785865,0.029947647528630005,0.1001796646463576,3,0,2,3,0.0,0.6666666666666666,1.0,0,0,0,0,2,0,0,1,2.0,3.0,bitters,0.6666666666666666,True
9,chocolate bitters,unknown,0.15963214454813768,0.01049047030475719,0.018563842289785797,0.1049047030475719,10,0,3,8,0.0,0.3,0.8,0,0,0,0,10,0,0,0,6.6,11.0,bitters,1.0,False
10,peach bitters,unknown,0.15886626413933672,0.0027961273520565,0.025782287280069885,0.0027961273520565,1,0,1,1,0.0,1.0,1.0,0,0,0,0,1,0,0,0,1.0,1.0,bitters,1.0,False
11,bsp calisaya,unknown,0.13586018148323004,0.0561231048584455,0.031707507003002,0.0561231048584455,1,0,1,1,0.0,1.0,1.0,0,0,0,0,1,0,0,0,0.0,0.0,bitters,1.0,True
12,cherry bitters,unknown,0.13530367821513734,0.0192627109839391,0.026776988013645066,0.0385254219678782,2,0,1,2,0.0,0.5,1.0,0,0,0,0,2,0,0,0,1.0,2.0,bitters,1.0,False
13,el guapo tonic bitters,unknown,0.1350497999682141,0.0428623164309118,0.030234086066609364,0.0428623164309118,1,0,1,1,0.0,1.0,1.0,0,0,0,0,1,0,0,0,0.0,0.0,bitters,1.0,False
14,bsp,unknown,0.13411523884437415,0.0275694980408037,0.028534884023264023,0.0275694980408037,1,0,1,1,0.0,1.0,1.0,0,0,0,0,1,0,0,0,0.0,0.0,bitters,1.0,True
15,drops bittermens orange cream citrate,unknown,0.13395069257554063,0.0248769227326187,0.02823570898902124,0.0248769227326187,1,0,1,1,0.0,1.0,1.0,0,0,0,0,1,0,0,0,0.0,0.0,bitters,1.0,False
16,chili tincture,unknown,0.13379254701194632,0.0222890862374391,0.02794817160066795,0.0222890862374391,1,0,1,1,0.0,1.0,1.0,0,0,0,0,1,0,0,0,0.0,0.0,bitters,1.0,True
