global_rank,anchor_name,anchor_form,global_key_score,avg_importance,shrunk_importance,total_importance,recipe_count,top1_count,top3_count,top5_count,top1_rate,top3_rate,top5_rate,role_base_spirit_count,role_modifier_count,role_acid_count,role_sweetener_count,role_bitters_count,role_garnish_count,role_dilution_count,role_other_count,avg_freq,max_freq,dominant_role,dominant_role_ratio,is_suspect_node
1,ginger liqueur,unknown,0.2849665587001474,0.024775342094498113,0.02509209435381023,2.22978078850483,90,14,52,76,0.15555555555555556,0.5777777777777777,0.8444444444444444,17,64,0,9,0,0,0,0,1.0222222222222221,92.0,modifier,0.7111111111111111,False
2,bloody mary mix,unknown,0.26989097661255074,0.096244250036802,0.036165412022819386,0.096244250036802,1,1,1,1,1.0,1.0,1.0,0,1,0,0,0,0,0,0,0.0,0.0,modifier,1.0,True
3,amaro,unknown,0.2361221665225247,0.011823035162753681,0.014815483537565748,0.4374523010218862,37,2,21,34,0.05405405405405406,0.5675675675675675,0.918918918918919,2,30,0,2,3,0,0,0,1.054054054054054,39.0,modifier,0.8108108108108109,True
4,sherry,unknown,0.22932598493529838,0.021297365616714806,0.023028704829504632,0.553731506034585,26,3,13,21,0.11538461538461539,0.5,0.8076923076923077,3,22,0,1,0,0,0,0,1.1538461538461537,30.0,modifier,0.8461538461538461,True
5,peach puree,unknown,0.22832686582995004,0.03010202857641845,0.029137714372853857,0.1204081143056738,4,1,4,4,0.25,1.0,1.0,0,3,0,0,0,0,0,1,2.0,4.0,modifier,0.75,False
6,absinthe,unknown,0.21378290183639215,0.009928723993656251,0.014761455162021491,0.2283606518540938,23,2,11,21,0.08695652173913043,0.4782608695652174,0.9130434782608695,0,11,0,0,7,0,0,5,7.0,23.0,modifier,0.4782608695652174,True
7,orange liqueur,unknown,0.21077111685609706,0.009073371739456592,0.01619416647822567,0.1270272043523923,14,1,9,13,0.07142857142857142,0.6428571428571429,0.9285714285714286,0,8,0,6,0,0,0,0,2.142857142857143,15.0,modifier,0.5714285714285714,True
8,rose wine,unknown,0.2063233205067671,0.0668096983241138,0.036286385481680006,0.1336193966482276,2,1,1,2,0.5,0.5,1.0,0,1,0,0,0,0,0,1,2.0,2.0,modifier,0.5,False
9,grapefruit liqueur,unknown,0.20090673022233752,0.037161442793422955,0.030356734375541837,0.07432288558684591,2,1,2,2,0.5,1.0,1.0,0,1,0,1,0,0,0,0,0.0,0.0,modifier,0.5,True
10,benedictine,unknown,0.19497990196794251,0.018052989207699783,0.022294016433048493,0.2166358704923974,12,0,7,12,0.0,0.5833333333333334,1.0,0,7,0,4,0,0,0,1,8.0,12.0,modifier,0.5833333333333334,True
11,pineapple juice,unknown,0.1939877069320638,0.007442908781371496,0.01329467388197841,0.15630108440880142,21,0,9,19,0.0,0.42857142857142855,0.9047619047619048,0,13,4,0,0,0,0,4,17.0,21.0,modifier,0.6190476190476191,True
