global_rank,anchor_name,anchor_form,global_key_score,avg_importance,shrunk_importance,total_importance,recipe_count,top1_count,top3_count,top5_count,top1_rate,top3_rate,top5_rate,role_base_spirit_count,role_modifier_count,role_acid_count,role_sweetener_count,role_bitters_count,role_garnish_count,role_dilution_count,role_other_count,avg_freq,max_freq,dominant_role,dominant_role_ratio,is_suspect_node
1,gin,unknown,0.4521067271757848,0.06243940586278815,0.061046257467253444,11.613729490478596,186,148,179,183,0.7956989247311828,0.9623655913978495,0.9838709677419355,177,9,0,0,0,0,0,0,7.150537634408602,190.0,base_spirit,0.9516129032258065,False
2,tequila,unknown,0.41106479369536186,0.072158522096542,0.0636701387159624,2.381231229185886,33,32,32,32,0.9696969696969697,0.9696969696969697,0.9696969696969697,32,1,0,0,0,0,0,0,1.0,33.0,base_spirit,0.9696969696969697,False
3,mezcal,unknown,0.3860864903978954,0.0657841123479209,0.05753332233084327,1.8419551457417855,28,24,26,28,0.8571428571428571,0.9285714285714286,1.0,26,2,0,0,0,0,0,0,26.928571428571427,29.0,base_spirit,0.9285714285714286,False
4,vodka,unknown,0.3776612637166422,0.04838123322711713,0.04621951531412584,3.1447801597626137,65,41,59,63,0.6307692307692307,0.9076923076923077,0.9692307692307692,57,8,0,0,0,0,0,0,4.061538461538461,66.0,base_spirit,0.8769230769230769,False
5,bourbon,unknown,0.35952846401176863,0.056584691266106414,0.050200889210098444,1.5277866641848732,27,20,24,26,0.7407407407407407,0.8888888888888888,0.9629629629629629,23,4,0,0,0,0,0,0,8.0,27.0,base_spirit,0.8518518518518519,True
6,cognac,unknown,0.351237662082559,0.05949006572311305,0.0440728114970923,0.4759205257849044,8,4,7,7,0.5,0.875,0.875,7,1,0,0,0,0,0,0,15.75,63.0,base_spirit,0.875,True
7,christmas spirit,unknown,0.3341768933762861,0.06918830323107417,0.042166472591072424,0.27675321292429667,4,4,4,4,1.0,1.0,1.0,4,0,0,0,0,0,0,0,4.0,4.0,base_spirit,1.0,True
8,rye whiskey,unknown,0.3182160547706758,0.044429245827171754,0.03938166548921969,0.7552971790619198,17,11,13,17,0.6470588235294118,0.7647058823529411,1.0,12,5,0,0,0,0,0,0,6.352941176470588,18.0,base_spirit,0.7058823529411765,True
9,calvados,unknown,0.3144784192630167,0.04115338475073012,0.03660872021267247,0.5761473865102217,14,9,12,14,0.6428571428571429,0.8571428571428571,1.0,9,5,0,0,0,0,0,0,2.0,14.0,base_spirit,0.6428571428571429,True
10,brandy,unknown,0.309723170649068,0.0576500676579871,0.04108177600832108,0.3459004059479226,6,5,5,5,0.8333333333333334,0.8333333333333334,0.8333333333333334,5,1,0,0,0,0,0,0,3.5,7.0,base_spirit,0.8333333333333334,False
11,genepy,unknown,0.3086329307616519,0.0490022316053316,0.030916298863767122,0.0490022316053316,1,1,1,1,1.0,1.0,1.0,1,0,0,0,0,0,0,0,2.0,2.0,base_spirit,1.0,True
12,grated,unknown,0.2974015656307872,0.1166273766379905,0.03843020386739589,0.1166273766379905,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,1.0,1.0,other,1.0,True
13,almond milk,unknown,0.295848190989188,0.0912085188663678,0.035605886337215585,0.0912085188663678,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,1.0,1.0,other,1.0,False
14,cava,unknown,0.2948328466102352,0.0745937926653211,0.0337598056482104,0.0745937926653211,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,1.0,1.0,other,1.0,False
15,egg yolk,unknown,0.29461504918138215,0.0710298347386353,0.03336381032302308,0.0710298347386353,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,1.0,1.0,other,1.0,True
16,creme yvette,unknown,0.29456632912255115,0.0702325974123097,0.0332752283978758,0.0702325974123097,1,1,1,1,1.0,1.0,1.0,0,0,0,1,0,0,0,0,1.0,1.0,sweetener,1.0,True
17,watermelon juice,unknown,0.2944049638138525,0.0675920741790591,0.03298183692751462,0.0675920741790591,1,1,1,1,1.0,1.0,1.0,0,0,0,1,0,0,0,0,1.0,1.0,sweetener,1.0,False
18,vanilla powder,unknown,0.29427991171412454,0.0655457670926019,0.03275446947346382,0.0655457670926019,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,1.0,1.0,other,1.0,True
19,potato juice,unknown,0.29415010704185346,0.0634216906372571,0.032518460978425506,0.0634216906372571,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,1.0,1.0,other,1.0,False
20,honey-ginger syrup,unknown,0.2941223666280527,0.062967756593244,0.032468023862424054,0.062967756593244,1,1,1,1,1.0,1.0,1.0,0,0,0,1,0,0,0,0,1.0,1.0,sweetener,1.0,False
21,peach shrub,unknown,0.294068903861538,0.062092911323004,0.03237081883239738,0.062092911323004,1,1,1,1,1.0,1.0,1.0,0,0,0,1,0,0,0,0,1.0,1.0,sweetener,1.0,True
22,everclear,unknown,0.29404557224371,0.0617111212130911,0.032328397709073725,0.0617111212130911,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,1.0,1.0,other,1.0,True
23,grape juice,unknown,0.29400180987441105,0.0609950097154716,0.03224882976489379,0.0609950097154716,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,1.0,1.0,other,1.0,False
24,rhubarb syrup,unknown,0.2937528323839593,0.0569208325989886,0.031796143418617896,0.0569208325989886,1,1,1,1,1.0,1.0,1.0,0,0,0,1,0,0,0,0,1.0,1.0,sweetener,1.0,False
