global_rank,anchor_name,anchor_form,global_key_score,avg_importance,shrunk_importance,total_importance,recipe_count,top1_count,top3_count,top5_count,top1_rate,top3_rate,top5_rate,role_base_spirit_count,role_modifier_count,role_acid_count,role_sweetener_count,role_bitters_count,role_garnish_count,role_dilution_count,role_other_count,avg_freq,max_freq,dominant_role,dominant_role_ratio,is_suspect_node
1,creme yvette,unknown,0.29456632912255115,0.0702325974123097,0.0332752283978758,0.0702325974123097,1,1,1,1,1.0,1.0,1.0,0,0,0,1,0,0,0,0,1.0,1.0,sweetener,1.0,True
2,watermelon juice,unknown,0.2944049638138525,0.0675920741790591,0.03298183692751462,0.0675920741790591,1,1,1,1,1.0,1.0,1.0,0,0,0,1,0,0,0,0,1.0,1.0,sweetener,1.0,False
3,honey-ginger syrup,unknown,0.2941223666280527,0.062967756593244,0.032468023862424054,0.062967756593244,1,1,1,1,1.0,1.0,1.0,0,0,0,1,0,0,0,0,1.0,1.0,sweetener,1.0,False
4,peach shrub,unknown,0.294068903861538,0.062092911323004,0.03237081883239738,0.062092911323004,1,1,1,1,1.0,1.0,1.0,0,0,0,1,0,0,0,0,1.0,1.0,sweetener,1.0,True
5,rhubarb syrup,unknown,0.2937528323839593,0.0569208325989886,0.031796143418617896,0.0569208325989886,1,1,1,1,1.0,1.0,1.0,0,0,0,1,0,0,0,0,1.0,1.0,sweetener,1.0,False
6,lychee juice,unknown,0.29362896577388875,0.0548939244341979,0.03157093140030782,0.0548939244341979,1,1,1,1,1.0,1.0,1.0,0,0,0,1,0,0,0,0,1.0,1.0,sweetener,1.0,False
7,simple syrup,unknown,0.2831741085728272,0.02623614557832844,0.02642590335815143,2.4661976843628732,94,0,67,92,0.0,0.7127659574468085,0.9787234042553191,0,1,0,93,0,0,0,0,77.55319148936171,97.0,sweetener,0.9893617021276596,False
8,marmalade,unknown,0.2691969235717597,0.0848870184602222,0.03490349740319941,0.0848870184602222,1,1,1,1,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0,0.0,sweetener,1.0,False
9,blackberry jam,unknown,0.268996436699053,0.081606324179566,0.03453897581645983,0.081606324179566,1,1,1,1,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0,0.0,sweetener,1.0,False
10,coco kj,unknown,0.2686704887477079,0.0762726304302829,0.0339463431776506,0.0762726304302829,1,1,1,1,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0,0.0,sweetener,1.0,True
11,demerara sugar,unknown,0.26846168389961234,0.0728558238250828,0.03356669799929503,0.0728558238250828,1,1,1,1,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0,0.0,sweetener,1.0,True
12,pecan syrup,unknown,0.26752198307552993,0.057478901249189,0.03185815104641795,0.057478901249189,1,1,1,1,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0,0.0,sweetener,1.0,False
13,cranberry syrup,unknown,0.2670052941324837,0.0490239912720691,0.030918716604515728,0.0490239912720691,1,1,1,1,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0,0.0,sweetener,1.0,False
14,maraschino cherry,unknown,0.26696489132379997,0.0483628544026992,0.030845256952363523,0.0483628544026992,1,1,1,1,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0,0.0,sweetener,1.0,True
15,sarsaparilla syrup,unknown,0.2669048557831804,0.047380454647106,0.030736101423964275,0.047380454647106,1,1,1,1,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0,0.0,sweetener,1.0,False
16,thai basil syrup,unknown,0.2669012835369726,0.0473219997091604,0.03072960643085921,0.0473219997091604,1,1,1,1,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0,0.0,sweetener,1.0,False
17,honey jalapeño syrup,unknown,0.266813116925043,0.0458792733321303,0.03056930350007809,0.0458792733321303,1,1,1,1,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0,0.0,sweetener,1.0,False
18,apricot syrup,unknown,0.26669410742820077,0.0439318452019843,0.03035292259672853,0.0439318452019843,1,1,1,1,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0,0.0,sweetener,1.0,False
19,ginger-vanilla syrup,unknown,0.2664991010212401,0.0407408312699004,0.029998365493163655,0.0407408312699004,1,1,1,1,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0,0.0,sweetener,1.0,False
20,honey syrup,unknown,0.25155503969917925,0.032632717809142106,0.03149638622683624,0.6526543561828422,20,1,18,20,0.05,0.9,1.0,0,0,0,20,0,0,0,0,13.65,21.0,sweetener,1.0,False
21,lavender syrup,unknown,0.24259881635537553,0.0377352586703148,0.030471497550920205,0.0754705173406296,2,1,2,2,0.5,1.0,1.0,0,0,0,2,0,0,0,0,1.0,2.0,sweetener,1.0,False
22,triple sec,unknown,0.23980963613981018,0.021702495720871504,0.023338510203271517,0.5642648887426591,26,1,19,25,0.038461538461538464,0.7307692307692307,0.9615384615384616,1,12,0,13,0,0,0,0,3.1153846153846154,27.0,sweetener,0.5,True
23,orgeat,unknown,0.2306219608921965,0.032497982746023626,0.031100737118768332,0.4549717584443308,14,1,12,12,0.07142857142857142,0.8571428571428571,0.8571428571428571,0,3,0,11,0,0,0,0,6.0,14.0,sweetener,0.7857142857142857,True
24,pineapple syrup,unknown,0.23042060093311215,0.032413427326502,0.030910279304329824,0.388961127918024,12,1,10,12,0.08333333333333333,0.8333333333333334,1.0,0,1,0,11,0,0,0,0,1.0,12.0,sweetener,0.9166666666666666,False
25,sugar,unknown,0.22857851157321032,0.02706258593360396,0.02766943215740114,0.3518136171368515,13,1,11,12,0.07692307692307693,0.8461538461538461,0.9230769230769231,0,3,0,10,0,0,0,0,3.3076923076923075,13.0,sweetener,0.7692307692307693,True
26,elderflower liqueur,unknown,0.22729895004776246,0.02645849940403938,0.02733732255085225,0.3175019928484726,12,1,9,12,0.08333333333333333,0.75,1.0,0,3,0,9,0,0,0,0,4.666666666666667,14.0,sweetener,0.75,True
27,agave nectar,unknown,0.22358407494669583,0.03648166222056945,0.0325686097458205,0.2918532977645556,8,0,8,8,0.0,1.0,1.0,0,1,0,7,0,0,0,0,6.75,9.0,sweetener,0.875,False
28,falernum,unknown,0.21913440403267148,0.03125369708593422,0.030422292345178167,0.5313128504608817,17,0,12,16,0.0,0.7058823529411765,0.9411764705882353,0,4,0,13,0,0,0,0,4.0,17.0,sweetener,0.7647058823529411,False
29,orgeat syrup,unknown,0.21751813292820127,0.028941342814246422,0.02879845004265899,0.23153074251397138,8,0,8,8,0.0,1.0,1.0,0,0,0,8,0,0,0,0,2.0,8.0,sweetener,1.0,False
30,grenadine,unknown,0.2113101272073633,0.027734292450747763,0.02819492486090966,0.2218743396059821,8,0,7,8,0.0,0.875,1.0,0,0,0,8,0,0,0,0,7.875,9.0,sweetener,1.0,False
31,demerara syrup,unknown,0.20485979082604894,0.015687039933919983,0.02309762126943517,0.0941222396035199,6,0,6,6,0.0,1.0,1.0,0,0,0,6,0,0,0,0,5.0,6.0,sweetener,1.0,False
32,agave,unknown,0.19794011892711266,0.04714339957272573,0.033697696080613605,0.1414301987181772,3,0,3,3,0.0,1.0,1.0,0,0,0,3,0,0,0,0,4.0,4.0,sweetener,1.0,False
33,agave syrup,unknown,0.19753048748884072,0.041547620400032445,0.03295291164739186,0.16619048160012978,4,0,4,4,0.0,1.0,1.0,0,0,0,4,0,0,0,0,4.0,4.0,sweetener,1.0,False
34,hibiscus syrup,unknown,0.19587947691834223,0.03513314214814165,0.029951074246485576,0.0702662842962833,2,0,2,2,0.0,1.0,1.0,0,0,0,2,0,0,0,0,2.0,4.0,sweetener,1.0,False
35,cinnamon syrup,unknown,0.19565800766433794,0.03902499682042114,0.03264380325159063,0.1951249841021057,5,0,3,5,0.0,0.6,1.0,0,0,0,5,0,0,0,0,6.0,10.0,sweetener,1.0,False
36,condensed milk,unknown,0.19132037495102172,0.05245415908395901,0.037808865660643655,0.26227079541979503,5,0,4,5,0.0,0.8,1.0,0,0,0,5,0,0,0,0,1.0,5.0,sweetener,1.0,False
37,pear syrup,unknown,0.18836448012010676,0.0436825025619781,0.03166094632925287,0.0873650051239562,2,0,2,2,0.0,1.0,1.0,0,0,0,2,0,0,0,0,1.5,3.0,sweetener,1.0,False
38,honey,unknown,0.17833131449311693,0.025497497468951958,0.02718179603008241,0.1784824822826637,7,0,4,7,0.0,0.5714285714285714,1.0,0,0,0,7,0,0,0,0,7.0,7.0,sweetener,1.0,False
39,cream of coconut,unknown,0.17823211667868516,0.0506695678295893,0.033058359382775106,0.1013391356591786,2,0,2,2,0.0,1.0,1.0,0,0,0,2,0,0,0,0,2.0,2.0,sweetener,1.0,False
40,jalapeno syrup,unknown,0.1770525814046941,0.0489792899747315,0.030913749793700443,0.0489792899747315,1,0,1,1,0.0,1.0,1.0,0,0,0,1,0,0,0,0,2.0,2.0,sweetener,1.0,False
41,strawberry shrub,unknown,0.17550870590199977,0.023715872657915,0.028106703425165278,0.023715872657915,1,0,1,1,0.0,1.0,1.0,0,0,0,1,0,0,0,0,2.0,2.0,sweetener,1.0,True
42,cherry syrup,unknown,0.16958977440647666,0.0423651669094521,0.033225427150531735,0.1694606676378084,4,1,4,4,0.25,1.0,1.0,0,0,0,4,0,0,0,0,0.0,0.0,sweetener,1.0,False
43,brown sugar,unknown,0.1691984837810862,0.04023085440732235,0.03251398964982182,0.1609234176292894,4,1,4,4,0.25,1.0,1.0,0,0,0,4,0,0,0,0,0.0,0.0,sweetener,1.0,True
44,maple syrup,unknown,0.16910330914691996,0.02206917815356408,0.02612233453356868,0.11034589076782039,5,0,3,5,0.0,0.6,1.0,0,1,0,4,0,0,0,0,1.0,5.0,sweetener,0.8,False
45,creme de cacao,unknown,0.1625128533005921,0.028234870133602662,0.028493754525891216,0.14117435066801332,5,0,3,4,0.0,0.6,0.8,0,2,0,3,0,0,0,0,2.0,5.0,sweetener,0.6,True
46,chamomile tea syrup,unknown,0.16195964434631116,0.0534150761934564,0.03140661492911432,0.0534150761934564,1,0,1,1,0.0,1.0,1.0,0,0,0,1,0,0,0,0,1.0,1.0,sweetener,1.0,False
47,coconut pistachio puree,unknown,0.16169102147426911,0.0490194291964047,0.030918209707219688,0.0490194291964047,1,0,1,1,0.0,1.0,1.0,0,0,0,1,0,0,0,0,1.0,1.0,sweetener,1.0,False
48,pear liqueur,unknown,0.1615280672707326,0.03802527241998145,0.03052950030085354,0.0760505448399629,2,1,1,2,0.5,0.5,1.0,0,0,0,2,0,0,0,0,0.0,0.0,sweetener,1.0,False
49,orange cordial,unknown,0.16152334745811925,0.0462756725684976,0.03061334785967445,0.0462756725684976,1,0,1,1,0.0,1.0,1.0,0,0,0,1,0,0,0,0,1.0,1.0,sweetener,1.0,True
50,molasses,unknown,0.16147648981364124,0.0455089111134032,0.030528152142441742,0.0455089111134032,1,0,1,1,0.0,1.0,1.0,0,0,0,1,0,0,0,0,1.0,1.0,sweetener,1.0,True
51,orange marmalade syrup,unknown,0.1612915939253006,0.0424833420314652,0.030191977800004186,0.0424833420314652,1,0,1,1,0.0,1.0,1.0,0,0,0,1,0,0,0,0,1.0,1.0,sweetener,1.0,False
52,strawberry syrup,unknown,0.1611997170306353,0.0409799019369422,0.03002492890061274,0.0409799019369422,1,0,1,1,0.0,1.0,1.0,0,0,0,1,0,0,0,0,1.0,1.0,sweetener,1.0,False
53,ginger-cinnamon syrup,unknown,0.16110557060027256,0.0394393239855518,0.029853753572680473,0.0394393239855518,1,0,1,1,0.0,1.0,1.0,0,0,0,1,0,0,0,0,1.0,1.0,sweetener,1.0,False
54,lemon verbena cordial,unknown,0.16104754737864496,0.038489853086191,0.02974825680608483,0.038489853086191,1,0,1,1,0.0,1.0,1.0,0,0,0,1,0,0,0,0,1.0,1.0,sweetener,1.0,True
55,gooseberry jam,unknown,0.16097617280417253,0.0373219055039153,0.02961848485249864,0.0373219055039153,1,0,1,1,0.0,1.0,1.0,0,0,0,1,0,0,0,0,1.0,1.0,sweetener,1.0,False
56,hazelnut cinnamon syrup,unknown,0.16082102385742966,0.0347831045572138,0.029336395858420697,0.0347831045572138,1,0,1,1,0.0,1.0,1.0,0,0,0,1,0,0,0,0,1.0,1.0,sweetener,1.0,False
57,nocino,unknown,0.1603789808821887,0.0275496740532706,0.02853268135798256,0.0275496740532706,1,0,1,1,0.0,1.0,1.0,0,0,0,1,0,0,0,0,1.0,1.0,sweetener,1.0,True
58,calisaya liqueur,unknown,0.16032305602510508,0.0266345400282658,0.0284309997996487,0.0266345400282658,1,0,1,1,0.0,1.0,1.0,0,0,0,1,0,0,0,0,1.0,1.0,sweetener,1.0,False
59,cherry brandy,unknown,0.16006760479100468,0.0224544289248046,0.02796654301037523,0.0224544289248046,1,0,1,1,0.0,1.0,1.0,0,0,0,1,0,0,0,0,1.0,1.0,sweetener,1.0,False
60,lemon curd,unknown,0.15957221757536055,0.01434809266881,0.027065838981931385,0.01434809266881,1,0,1,1,0.0,1.0,1.0,0,0,0,1,0,0,0,0,1.0,1.0,sweetener,1.0,True
61,ginger syrup,unknown,0.1476711800920935,0.00510278297232918,0.019596797925401414,0.0255139148616459,5,0,2,4,0.0,0.4,0.8,0,2,0,3,0,0,0,0,3.6,6.0,sweetener,0.6,True
62,curacao,unknown,0.14239633004305607,0.0174877023577407,0.024360228458251997,0.0874385117887035,5,0,1,5,0.0,0.2,1.0,0,2,0,3,0,0,0,0,2.4,6.0,sweetener,0.6,False
63,condensed coconut milk,unknown,0.13621653128360858,0.0619542834100944,0.03235541573096298,0.0619542834100944,1,0,1,1,0.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0,0.0,sweetener,1.0,False
64,honey liqueur,unknown,0.13610318792011825,0.041466082534071164,0.03214933688825327,0.12439824760221349,3,0,3,3,0.0,1.0,1.0,0,0,0,3,0,0,0,0,0.0,0.0,sweetener,1.0,False
65,brown sugar syrup,unknown,0.13582357923815577,0.0555241590299576,0.03164095746650334,0.0555241590299576,1,0,1,1,0.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0,0.0,sweetener,1.0,False
66,bywater spice mix,unknown,0.13573211813884628,0.0540275228594385,0.03147466455866789,0.0540275228594385,1,0,1,1,0.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0,0.0,sweetener,1.0,True
67,pear watercress puree,unknown,0.13569568614260236,0.0534313629209015,0.03140842456549711,0.0534313629209015,1,0,1,1,0.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0,0.0,sweetener,1.0,False
68,drambuie,unknown,0.135598325359051,0.02194132138315425,0.027312710093488096,0.0438826427663085,2,0,1,2,0.0,0.5,1.0,0,0,0,2,0,0,0,0,2.0,2.0,sweetener,1.0,True
69,apple cider reduction,unknown,0.13556330030010214,0.0512650491345342,0.031167723033678523,0.0512650491345342,1,0,1,1,0.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0,0.0,sweetener,1.0,True
70,kaffir lime & tamarind compound syrup,unknown,0.13555621319636177,0.0511490783460556,0.03115483739051423,0.0511490783460556,1,0,1,1,0.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0,0.0,sweetener,1.0,False
71,fig cinnamon syrup,unknown,0.13548831023684305,0.0500379390084767,0.031031377464116574,0.0500379390084767,1,0,1,1,0.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0,0.0,sweetener,1.0,False
72,raspberry/white pepper syrup,unknown,0.13540473024547187,0.0486702664224025,0.030879413843441665,0.0486702664224025,1,0,1,1,0.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0,0.0,sweetener,1.0,False
73,orange sorbet,unknown,0.13540066220421623,0.0486036984745832,0.030872017404795074,0.0486036984745832,1,0,1,1,0.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0,0.0,sweetener,1.0,True
74,jamaica basil flower syrup,unknown,0.13533368926330339,0.047507777623282,0.030750248421317166,0.047507777623282,1,0,1,1,0.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0,0.0,sweetener,1.0,False
75,beet sugar water,unknown,0.13530783218173706,0.0470846617431059,0.03070323554574204,0.0470846617431059,1,0,1,1,0.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0,0.0,sweetener,1.0,False
76,pomegranate cordial,unknown,0.13527920201830035,0.0466161681595958,0.030651180703129808,0.0466161681595958,1,0,1,1,0.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0,0.0,sweetener,1.0,True
77,beet thyme reduction,unknown,0.1352578986230655,0.0462675671466621,0.030612447257248283,0.0462675671466621,1,0,1,1,0.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0,0.0,sweetener,1.0,True
78,gum syrup,unknown,0.13523677176997653,0.0356899748664598,0.030574034797086536,0.1070699245993794,3,0,3,3,0.0,1.0,1.0,0,0,0,3,0,0,0,0,0.0,0.0,sweetener,1.0,False
79,orchard syrup,unknown,0.13509964304024558,0.0436779303368818,0.03032470983393936,0.0436779303368818,1,0,1,1,0.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0,0.0,sweetener,1.0,False
80,strawberry raspberry syrup,unknown,0.13502891506955428,0.042520563543751,0.030196113523591497,0.042520563543751,1,0,1,1,0.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0,0.0,sweetener,1.0,False
81,tea syrup,unknown,0.13500807213860547,0.0421794974009527,0.030158217285502793,0.0421794974009527,1,0,1,1,0.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0,0.0,sweetener,1.0,False
82,blood orange syrup,unknown,0.13500361870771047,0.0421066230772162,0.03015012013842096,0.0421066230772162,1,0,1,1,0.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0,0.0,sweetener,1.0,False
83,demerara sugar syrup,unknown,0.13499822998687686,0.0420184440090296,0.03014032246417801,0.0420184440090296,1,0,1,1,0.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0,0.0,sweetener,1.0,False
84,strawberry puree,unknown,0.13498066591900632,0.0417310319893299,0.030108387795322482,0.0417310319893299,1,0,1,1,0.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0,0.0,sweetener,1.0,False
