recipe_id,i_id,j_id,i_role,j_role,i_amount,j_amount,w_cooccur_raw,c_flavor,c_type,total_conflict
1,1,2,base_spirit,sweetener,1.5,1.0,0.0,0.0,0.0,0.0
1,1,3,base_spirit,acid,1.5,0.5,-0.706952192401981,0.06055512754639897,0.0,0.06055512754639897
1,1,4,base_spirit,dilution,1.5,,-0.4101522515681558,0.0,0.0,0.0
1,2,3,sweetener,acid,1.0,0.5,0.0,0.11231056256176608,0.0,0.11231056256176608
1,2,4,sweetener,dilution,1.0,,0.0,0.0,0.0,0.0
1,3,4,acid,dilution,0.5,,-1.6473702859135184,0.0,0.0,0.0
2,5,6,base_spirit,sweetener,2.0,0.75,0.0,0.0,0.0,0.0
2,5,7,base_spirit,acid,2.0,0.5,0.0,0.05118845842842462,0.0,0.05118845842842462
2,5,8,base_spirit,modifier,2.0,0.5,0.0,5.551115123125783e-17,0.0,5.551115123125783e-17
2,5,9,base_spirit,modifier,2.0,0.25,0.0,0.0,0.0,0.0
2,5,10,base_spirit,bitters,2.0,4.0,0.0,0.05590260840104372,0.0,0.05590260840104372
2,5,11,base_spirit,garnish,2.0,,0.0,0.0,0.0,0.0
2,6,7,sweetener,acid,0.75,0.5,0.0,0.07859388972001824,0.0,0.07859388972001824
2,6,8,sweetener,modifier,0.75,0.5,0.0,0.0,0.0,0.0
2,6,9,sweetener,modifier,0.75,0.25,0.0,0.0,0.0,0.0
2,6,10,sweetener,bitters,0.75,4.0,0.0,0.21316014394468846,0.6,0.8131601439446885
2,6,11,sweetener,garnish,0.75,,0.0,0.0,0.0,0.0
2,7,8,acid,modifier,0.5,0.5,-1.7387874914548704,0.0,0.0,0.0
2,7,9,acid,modifier,0.5,0.25,-1.458818412271378,0.02914029430219167,0.0,0.02914029430219167
2,7,10,acid,bitters,0.5,4.0,0.0,0.12426406871192858,0.0,0.12426406871192858
2,7,11,acid,garnish,0.5,,0.0,0.04399612400917158,0.0,0.04399612400917158
2,8,9,modifier,modifier,0.5,0.25,2.2321115660575503,0.0,0.0,0.0
2,8,10,modifier,bitters,0.5,4.0,0.0,0.12426406871192858,0.0,0.12426406871192858
2,8,11,modifier,garnish,0.5,,0.0,0.0,0.0,0.0
2,9,10,modifier,bitters,0.25,4.0,0.0,0.1813176359397884,0.0,0.1813176359397884
2,9,11,modifier,garnish,0.25,,0.0,0.0,0.0,0.0
2,10,11,bitters,garnish,4.0,,0.0,0.08944404818493079,0.0,0.08944404818493079
3,12,7,base_spirit,acid,1500.0,750.0,0.0,0.010912635102960533,0.0,0.010912635102960533
3,12,14,base_spirit,sweetener,1500.0,750.0,0.0,0.0,0.0,0.0
3,12,15,base_spirit,bitters,1500.0,0.5,0.0,0.018852107828483233,0.0,0.018852107828483233
3,12,16,base_spirit,modifier,1500.0,1.0,0.0,0.0,0.0,0.0
3,7,14,acid,sweetener,750.0,750.0,0.0,0.08944404818493079,0.0,0.08944404818493079
3,7,15,acid,bitters,750.0,0.5,0.0,0.0,0.0,0.0
3,7,16,acid,modifier,750.0,1.0,0.0,0.024037034920392997,0.0,0.024037034920392997
3,14,15,sweetener,bitters,750.0,0.5,0.0,0.11231056256176614,0.6,0.7123105625617661
3,14,16,sweetener,modifier,750.0,1.0,0.0,0.0,0.0,0.0
3,15,16,bitters,modifier,0.5,1.0,0.0,0.02659863237109039,0.0,0.02659863237109039
4,17,18,base_spirit,modifier,1.5,0.75,0.0,0.0,0.0,0.0
4,17,19,base_spirit,sweetener,1.5,0.5,0.0,0.0,0.0,0.0
4,17,20,base_spirit,modifier,1.5,0.25,0.0,0.0,0.0,0.0
4,17,21,base_spirit,bitters,1.5,1.0,0.0,0.0,0.0,0.0
4,18,19,modifier,sweetener,0.75,0.5,0.0,0.0,0.0,0.0
4,18,20,modifier,modifier,0.75,0.25,1.4003349493332138,0.0,0.0,0.0
4,18,21,modifier,bitters,0.75,1.0,0.0,0.0,0.0,0.0
4,19,20,sweetener,modifier,0.5,0.25,0.0,0.0,0.0,0.0
4,19,21,sweetener,bitters,0.5,1.0,0.0,0.03416562759605707,0.0,0.03416562759605707
4,20,21,modifier,bitters,0.25,1.0,0.0,0.06514837167011073,0.0,0.06514837167011073
5,22,23,sweetener,acid,1.25,4.0,0.0,0.3770032003863301,0.0,0.3770032003863301
5,22,17,sweetener,base_spirit,1.25,2.0,0.0,0.0,0.0,0.0
5,22,25,sweetener,modifier,1.25,0.75,0.0,0.0,0.0,0.0
5,22,26,sweetener,bitters,1.25,0.25,0.0,0.12229531531066429,0.0,0.12229531531066429
5,22,27,sweetener,bitters,1.25,3.0,0.0,0.11231056256176608,0.0,0.11231056256176608
5,23,17,acid,base_spirit,4.0,2.0,0.0,0.265685424949238,0.0,0.265685424949238
5,23,25,acid,modifier,4.0,0.75,0.0,0.36957698088668894,0.0,0.36957698088668894
5,23,26,acid,bitters,4.0,0.25,0.0,0.25677643628300234,0.0,0.25677643628300234
5,23,27,acid,bitters,4.0,3.0,0.0,0.2845225972250061,0.0,0.2845225972250061
5,17,25,base_spirit,modifier,2.0,0.75,0.0,0.002765035409749206,0.0,0.002765035409749206
5,17,26,base_spirit,bitters,2.0,0.25,0.0,0.07859388972001824,0.0,0.07859388972001824
5,17,27,base_spirit,bitters,2.0,3.0,0.0,0.07193189340702333,0.0,0.07193189340702333
5,25,26,modifier,bitters,0.75,0.25,0.0,0.008220700148448834,0.0,0.008220700148448834
5,25,27,modifier,bitters,0.75,3.0,0.0,0.05590260840104372,0.0,0.05590260840104372
5,26,27,bitters,bitters,0.25,3.0,0.0,0.0,0.0,0.0
6,5,29,base_spirit,sweetener,1.0,1.0,0.0,0.16368092477478519,0.0,0.16368092477478519
6,5,30,base_spirit,modifier,1.0,1.0,0.0,0.0,0.0,0.0
6,5,7,base_spirit,acid,1.0,0.75,0.0,0.05118845842842462,0.0,0.05118845842842462
6,5,32,base_spirit,bitters,1.0,2.0,0.0,0.0,0.0,0.0
6,5,33,base_spirit,garnish,1.0,7.0,0.0,0.0,0.0,0.0
6,5,34,base_spirit,dilution,1.0,,0.0,0.0,0.0,0.0
6,29,30,sweetener,modifier,1.0,1.0,0.0,0.12426406871192858,0.0,0.12426406871192858
6,29,7,sweetener,acid,1.0,0.75,0.0,0.22121652570372968,0.0,0.22121652570372968
6,29,32,sweetener,bitters,1.0,2.0,0.0,0.1864839839775475,0.0,0.1864839839775475
6,29,33,sweetener,garnish,1.0,7.0,0.0,0.08297084310253527,0.0,0.08297084310253527
6,29,34,sweetener,dilution,1.0,,0.0,0.0,0.0,0.0
6,30,7,modifier,acid,1.0,0.75,0.0,0.0,0.0,0.0
6,30,32,modifier,bitters,1.0,2.0,0.0,0.0,0.0,0.0
6,30,33,modifier,garnish,1.0,7.0,0.0,0.0,0.0,0.0
6,30,34,modifier,dilution,1.0,,0.0,0.0,0.0,0.0
6,7,32,acid,bitters,0.75,2.0,-2.4592459497528365,0.1143267631552018,0.0,0.1143267631552018
6,7,33,acid,garnish,0.75,7.0,0.0,0.04399612400917158,0.0,0.04399612400917158
6,7,34,acid,dilution,0.75,,0.20473482192401904,0.0,0.0,0.0
6,32,33,bitters,garnish,2.0,7.0,0.0,0.06055512754639891,0.0,0.06055512754639891
6,32,34,bitters,dilution,2.0,,0.0,0.0,0.0,0.0
6,33,34,garnish,dilution,7.0,,0.0,0.0,0.0,0.0
7,35,36,base_spirit,acid,2.0,1.0,0.0,0.08944404818493079,0.0,0.08944404818493079
7,35,37,base_spirit,modifier,2.0,0.5,0.0,0.0,0.0,0.0
7,35,38,base_spirit,sweetener,2.0,0.5,0.0,0.0,0.0,0.0
7,35,39,base_spirit,other,2.0,0.5,-0.19890546565384692,0.03665016461206927,0.0,0.03665016461206927
7,36,37,acid,modifier,1.0,0.5,0.0,0.06285901761795404,0.0,0.06285901761795404
7,36,38,acid,sweetener,1.0,0.5,0.0,0.08944404818493079,0.0,0.08944404818493079
7,36,39,acid,other,1.0,0.5,0.0,0.10207793606049392,0.0,0.10207793606049392
7,37,38,modifier,sweetener,0.5,0.5,0.0,0.0,0.0,0.0
7,37,39,modifier,other,0.5,0.5,0.0,0.06968455021364728,0.0,0.06968455021364728
7,38,39,sweetener,other,0.5,0.5,0.0,0.12817441928883766,0.0,0.12817441928883766
8,40,41,base_spirit,modifier,1.5,0.5,0.0,0.0915780041490244,0.0,0.0915780041490244
8,40,3,base_spirit,acid,1.5,0.75,0.0,0.1281744192888376,0.0,0.1281744192888376
8,40,43,base_spirit,sweetener,1.5,0.5,0.0,0.058236421003411365,0.0,0.058236421003411365
8,40,44,base_spirit,dilution,1.5,2.0,0.0,0.0,0.0,0.0
8,41,3,modifier,acid,0.5,0.75,-2.092343489706755,0.14347115652166903,0.0,0.14347115652166903
8,41,43,modifier,sweetener,0.5,0.5,0.0,0.06285901761795404,0.0,0.06285901761795404
8,41,44,modifier,dilution,0.5,2.0,0.0,0.0,0.0,0.0
8,3,43,acid,sweetener,0.75,0.5,0.0,0.22121652570372968,0.0,0.22121652570372968
8,3,44,acid,dilution,0.75,2.0,0.0,0.0,0.0,0.0
8,43,44,sweetener,dilution,0.5,2.0,0.0,0.0,0.0,0.0
9,45,46,base_spirit,modifier,0.75,0.5,0.0,0.0,0.0,0.0
9,45,22,base_spirit,sweetener,0.75,0.25,0.0,0.0,0.0,0.0
9,45,36,base_spirit,acid,0.75,0.25,0.0,0.08729833462074171,0.0,0.08729833462074171
9,45,49,base_spirit,dilution,0.75,3.0,0.06939265422156127,0.0,0.0,0.0
9,46,22,modifier,sweetener,0.5,0.25,0.0,0.0,0.0,0.0
9,46,36,modifier,acid,0.5,0.25,0.0,0.07859388972001824,0.0,0.07859388972001824
9,46,49,modifier,dilution,0.5,3.0,0.0,0.0,0.0,0.0
9,22,36,sweetener,acid,0.25,0.25,0.0,0.10620192023179803,0.0,0.10620192023179803
9,22,49,sweetener,dilution,0.25,3.0,0.0,0.0,0.0,0.0
9,36,49,acid,dilution,0.25,3.0,0.0,0.0,0.0,0.0
10,50,51,base_spirit,modifier,1.0,1.5,0.0,0.0,0.0,0.0
10,50,52,base_spirit,sweetener,1.0,0.75,0.0,0.0,0.0,0.0
10,50,53,base_spirit,garnish,1.0,,0.0,0.002765035409749206,0.0,0.002765035409749206
10,50,54,base_spirit,garnish,1.0,,0.0,0.0,0.0,0.0
10,51,52,modifier,sweetener,1.5,0.75,0.0,0.0,0.0,0.0
10,51,53,modifier,garnish,1.5,,0.0,0.0,0.0,0.0
10,51,54,modifier,garnish,1.5,,0.0,0.0,0.0,0.0
10,52,53,sweetener,garnish,0.75,,0.0,0.0,0.0,0.0
10,52,54,sweetener,garnish,0.75,,0.0,0.0,0.0,0.0
10,53,54,garnish,garnish,,,0.0,0.041565025531986655,0.0,0.041565025531986655
11,55,56,base_spirit,modifier,1.5,0.75,0.0,0.0,0.0,0.0
11,55,57,base_spirit,acid,1.5,0.75,0.0,0.0,0.0,0.0
11,55,58,base_spirit,sweetener,1.5,0.5,0.0,0.0,0.0,0.0
11,55,59,base_spirit,bitters,1.5,0.25,0.0,0.0,0.0,0.0
11,56,57,modifier,acid,0.75,0.75,0.0,0.0535533905932738,0.0,0.0535533905932738
11,56,58,modifier,sweetener,0.75,0.5,0.0,0.0,0.0,0.0
11,56,59,modifier,bitters,0.75,0.25,0.0,0.03416562759605707,0.0,0.03416562759605707
11,57,58,acid,sweetener,0.75,0.5,0.0,0.08729833462074177,0.0,0.08729833462074177
11,57,59,acid,bitters,0.75,0.25,0.0,0.08729833462074171,0.0,0.08729833462074171
11,58,59,sweetener,bitters,0.5,0.25,0.0,0.010912635102960533,0.0,0.010912635102960533
12,1,61,base_spirit,modifier,1.5,0.25,0.0,0.0,0.0,0.0
12,1,62,base_spirit,bitters,1.5,0.75,0.0,0.07193189340702333,0.0,0.07193189340702333
12,1,63,base_spirit,bitters,1.5,2.0,0.0,0.13011626335213133,0.0,0.13011626335213133
12,61,62,modifier,bitters,0.25,0.75,0.0,0.0535533905932738,0.0,0.0535533905932738
12,61,63,modifier,bitters,0.25,2.0,0.0,0.11833001326703779,0.0,0.11833001326703779
12,62,63,bitters,bitters,0.75,2.0,0.0,0.0,0.0,0.0
13,5,65,base_spirit,modifier,1.5,0.75,0.0,0.013581462037112968,0.0,0.013581462037112968
13,5,66,base_spirit,sweetener,1.5,0.5,0.0,0.0,0.0,0.0
