id,name,instructions
1,Flor de Amaras,"*Hibiscus Simple Syrup:
1:1 w/ a cup of dried hibiscus steeping for 30-40 min"
2,The Happy Place,"*House-made Cranberry syrup: 
-- 2 cups Fresh Cranberries
-- 1 cup Sugar
-- 1 cup Water
-- 2 Bay Leaves
-- .25 cup Pink Peppercorns
-- Half Serrano Chile
-- 4 Sprigs Fresh Rosemary

Add all ingredients to a pot and heat thoroughly. Simmer on low until cranberries cook down for 25 minutes. Strain and let cool."
3,Bon Voyage Pisco Punch,"*Pineapple Gomme: 
Mix equal parts (1.5 cups) gum arabic with water over high heat until it all mixes and then let cool for a bit. Then you're gonna make a sugar syrup with 2 parts sugar, 1 part water (4 cups water, 2 cups white granulated sugar) in the same manner over high heat until it mixes, and then add the gum syrup to the mix until everything dissolves and what you're left with is a thick gummy syrup that resembles a whole lot of baby batter. Then cut up 1.5 cups of pineapple chunks, put in mason jar, and pour the gum syrup over it and let it sit in the refrigerator over night. A few hours would work also if you don't have that much time. However, the more time, the more pineapple infusion takes place. When it's ready, strain into another mason jar or bottle, and it's ready to go."
4,Still Life of a Pineapple,"*Pineapple Syrup:
<em>Equal parts pineapple blended with water and sugar and strained</em>"
5,The Bittered Valley,"1st glass ingredients:
Luxardo Maraschino, Acid Phosphate

2nd glass ingredients:
BarSol Quebranta Pisco, Luxardo Amaro Abano, Luxardo Fernet, Scrappy's Aromatic Bitters"
6,OH Snap!,"Add 6-8 sugar snap peas to cocktail shaker. Lightly muddle the peas. Add all other ingredients except for the tonic. Shake and double strain into a collins glass. Top with tonic. 

*House-made Simple Syrup: 
-- 1 cup Sugar
-- 1 cup Water

Add equal parts sugar and water into a small saucepan, bring to a boil; simmer until the sugar is dissolved, approximately 3 minutes. Remove from heat, let cool to room temperature and transfer to a clean glass jar. Cover and keep refrigerated for up to 2 weeks."
7,Wabash Avenue Sour,"Add all ingredients and dry-shake (without ice), then add ice, and shake again. Strain into coupe and garnish with rhubarb bitters."
8,IPA Mule,"Add all ingredients except beer into shaker tin, shake vigorously for 10 seconds. Add beer in shaker tin then double strain into tin cup. Add mint for garish."
9,Ritz Cocktail,"Add all ingredients except the champagne to a mixing glass and fill with ice. Stir, and strain into a martini glass. Fill with champagne and garnish with a flamed orange peel."
10,King's Snap the Chocolate Out of You,Add all ingredients except the whip cream and ginger snap. Shake and double into a rocks glass with no ice. Top with marshmallow whip cream. Garnish with Ginger snap crumbles.
11,Happiness,"Add all ingredients in a cocktail shaker, shake, fine strain into a chilled coupe or martini glass. Garnish with edible flower.

*Jasmine Tea/Rice-Infused Junipero Gin:
-- 1 bottle (750ml) Junípero gin
-- .5 cup Jasmine Tea
-- .5 cup Jasmine Rice (wash rice to eliminate starch)

Sous Vide Version: Wash the jasmine rice to clean out the starch. Fill container with hot water. Set sous vide at 52c. Add vacuum seal bag with jasmine tea/rice in bath. Let sit in bath for 45 minutes. Take the bag out of bath and sit it in ice bath for 15 minutes. Open bag and fine strain back into bottle.

Infusion Version: Wash the jasmine rice to clean out the starch. In a cambro/mason jar, add Junípero gin and jasmine tea and rice. Let infuse for 24 hours. Fine strain into bottle.

**House-made Honey Syrup: 

Put equal parts of honey (10 oz) and water (10 oz) in a saucepan. Boil, then turn down to a simmer and stir until the honey is completely dissolved."
12,Fourth Generation,Add all ingredients in a mixing glass and stir with ice. Strain into a Nick & Nora coupe. Garnish with a ghost orange twist.
13,West Coast Punch,Add all ingredients in a mixing glass with fresh ice. Shake vigorously and strain into a Nick & Nora glass. Garnish with lime pinwheel and bing cherry.
14,Mille Miglia,"Add all ingredients in a mixing glass with fresh ice. Shake vigorously and strain into a Nick & Nora glass. Garnish with lime pinwheel and bing cherry.
"
15,Paradiso Sun,Add all ingredients in a mixing glass with fresh ice. Shake vigorously and strain into a Nick & Nora glass. Garnish with orange slice and 1 bar spoon juniper berries.
16,Lux Orchard Lemonade,Add all ingredients in a mixing glass with fresh ice. Shake vigorously and strain over fresh ice. Garnish with Luxardo Cherry.
17,Cut & Rum,"Add all ingredients in mixing glass, stir and strain over 2x2 ice cube in smoked glass on hickory board. Garnish with orange peel and clothes pin."
18,The King's Spring Daisy,Add all ingredients into a cocktail shaker. Shake and double strain into a glass. Garnish with a sprig of mint.
19,The King's Ginger Spiced Punch,Add all ingredients into a punch bowl or pitcher and stir. Add lemon wheels and strawberries to garnish.
20,War of the Roses,Add all ingredients into a punch bowl. Serve in small rocks glasses.
21,The King's Medicine,"Add all ingredients into a shaker with ice, shake furiously. Fine strain into chilled coupe. Garnish with a lemon twist."
22,A.Nise,Add all ingredients into a shaker with ice. Shake. Strain over fresh ice into a rocks glass. Garnish with star anise and two slices lemongrass.
23,Down the Rabbit Hole,"Add all ingredients into a shaker, shake strain into a collins glass, fill with crushed ice, garnish with mint leaves."
24,Peace Daiquiri,"Add all ingredients into shaking tin. Add ice cubes to tin. Shake vigorously and strain into coupe. Garnish with Luxardo Maraschino Cherry.
"
25,The King's Autumn Cobbler,Add all ingredients over ice. Stir with a barspoon. Squeeze lemon wedges and add blackberries.
26,The Mad King,"Add all ingredients to a mixing glass and stir for 15-20 seconds. Strain into a highball filled with fresh ice.
"
27,The Robert Baratheon,Add all ingredients to a mixing glass filled with ice. Stir until cold and strain into a chilled coupe.
28,Lux Shandy,Add all ingredients to a mixing glass. Add ice and integration shake. Pour over fresh ice into a highball and top with California Lager. Garnish with a half orange wheel.
29,Fiona Graham,Add all ingredients to a mixing glass. Stir until thoroughly chilled (~30 seconds). Strain into a chilled cocktail glass. Serve with one big rock. Garnish with an expressed orange swath.
